step,deepseek1.5b_sync_8gpu_lr3e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-6-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-6-response_length/mean_step
27,2680.5263671875,4092.7265625,,,,,,,4803.3134765625,3825.5341796875,2759.80859375,4875.1435546875
28,2434.0888671875,,4700.490234375,2696.5078125,3539.3349609375,2548.5048828125,3390.501953125,1527.57421875,5030.1728515625,3685.7548828125,2552.7861328125,4739.1650390625
29,2345.298828125,3542.6162109375,,2515.2529296875,3399.7265625,2460.421875,3504.541015625,1427.251953125,5123.4990234375,3539.982421875,2431.314453125,4332.970703125
30,2529.8046875,3807.0087890625,3953.9736328125,2609.56640625,3668.3896484375,,4068.0361328125,1628.732421875,5357.474609375,3793.0263671875,2569.9716796875,4508.6044921875
31,,,3884.8564453125,2683.6240234375,3324.15234375,2570.751953125,3874.17578125,1876.78125,4979.2734375,3770.1826171875,2666.0595703125,4546.9658203125
32,2672.25,3708.1494140625,4392.1259765625,2678.80859375,3666.2021484375,2715.5625,,2173.97265625,5039.9248046875,3546.8134765625,2723.568359375,4499.947265625
33,2656.2431640625,3599.529296875,4139.4658203125,2655.916015625,3037.3134765625,2591.888671875,,2238.9892578125,4550.93359375,3268.1650390625,2742.568359375,4387.01953125
34,2633.986328125,3587.7705078125,3783.2734375,2660.509765625,3418.3876953125,2574.2890625,3223.86328125,,4702.3642578125,3515.2802734375,2546.1875,4178.8037109375
35,,,3539.3798828125,2637.5283203125,3207.548828125,2578.38671875,,1770.54296875,4545.3212890625,3163.4541015625,2608.759765625,3933.2294921875
36,2776.134765625,3504.169921875,3978.4951171875,2697.896484375,3116.2060546875,,,,4331.4267578125,3082.736328125,2682.0703125,4133.275390625
