step,deepseek1.5b_sync_8gpu_lr3e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-6-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-6-response_length/mean_step
147,2997.37890625,2658.3251953125,1986.8330078125,2833.43359375,2665.982421875,2885.80859375,4987.80078125,3155.373046875,2346.068359375,2417.3525390625,2957.52734375,2404.0791015625
148,2908.396484375,2759.8203125,2745.6474609375,2668.40234375,2895.4208984375,2732.5654296875,4816.12890625,3431.0947265625,2472.3173828125,2653.712890625,2893.796875,2284.802734375
149,2961.92578125,2856.552734375,2553.724609375,2732.25390625,2884.8681640625,2734.1064453125,5273.1142578125,3403.56640625,2439.740234375,2633.2109375,2868.57421875,2248.26171875
150,2688.8046875,2733.1650390625,1784.0205078125,2563.5205078125,2866.0419921875,2580.0478515625,6883.9755859375,3034.705078125,2514.0908203125,2498.7744140625,2648.91015625,2217.541015625
151,3014.8671875,2711.03515625,1964.1552734375,2770.2705078125,2924.3720703125,2889.0146484375,7451.9287109375,2915.0810546875,2353.7490234375,2640.125,2959.1357421875,2504.7685546875
152,2656.2001953125,2763.8701171875,2678.33984375,2587.1103515625,2900.6396484375,2680.595703125,7408.544921875,2941.521484375,2659.3095703125,2683.2041015625,2720.0390625,2252.265625
153,2854.2998046875,2808.751953125,2387.6181640625,2701.0263671875,2657.52734375,2867.6572265625,7381.4169921875,3181.6083984375,2065.39453125,2395.8212890625,2955.572265625,2486.8017578125
154,2789.1796875,2846.9443359375,1730.21484375,2681.2255859375,2849.349609375,2837.57421875,7198.7158203125,3377.51953125,2389.6806640625,2691.3330078125,2849.5498046875,2437.517578125
155,2811.7392578125,2753.6318359375,1811.0439453125,2650.1962890625,2764.310546875,2791.38671875,6713.66796875,3573.5810546875,2369.51953125,2690.576171875,2890.994140625,2402.4072265625
156,2783.2158203125,2702.0205078125,2636.2900390625,2646.2353515625,2854.97265625,2768.005859375,6505.857421875,3588.3125,2376.25390625,2568.4296875,2876.578125,2461.5537109375
157,2839.806640625,2738.8251953125,2420.9404296875,2688.916015625,2834.3837890625,2955.3037109375,6050.1806640625,3500.5224609375,2440.0009765625,2586.1064453125,2944.7138671875,2535.88671875
158,2802.3837890625,2777.005859375,1626.224609375,2655.12890625,2830.7958984375,2833.30859375,5701.77734375,3380.4892578125,2374.3046875,2469.9814453125,2924.041015625,2440.6015625
159,2768.310546875,2771.2568359375,1689.9775390625,2636.5556640625,2683.3369140625,2799.81640625,5467.3369140625,3545.1796875,2265.4599609375,2550.0625,2881.416015625,2404.30859375
160,2871.154296875,2745.373046875,2032.0283203125,2680.2294921875,2898.138671875,2785.1552734375,5063.9326171875,3782.4130859375,2476.7880859375,2666.46484375,2912.7626953125,2465.8779296875
161,2818.6533203125,2819.0439453125,1908.802734375,2655.6103515625,2879.736328125,2813.2626953125,4544.9130859375,3918.318359375,2400.822265625,2613.69140625,2946.7626953125,2436.8056640625
162,2667.978515625,2809.8603515625,1498.6142578125,2531.0068359375,2921.3349609375,2843.240234375,3761.939453125,3746.8681640625,2593.541015625,2669.33984375,2820.0615234375,2323.599609375
163,2780.09765625,2889.7890625,1659.369140625,2682.421875,2733.0322265625,2821.3369140625,3169.2275390625,3730.6953125,2271.8369140625,2421.2646484375,2872.337890625,2378.15234375
164,2623.505859375,2899.40234375,2678.822265625,2497.4384765625,2665.19921875,2750.421875,2613.6181640625,3841.6240234375,2260.525390625,2544.8564453125,2927.4541015625,2355.775390625
165,2576.234375,2898.896484375,2675.7158203125,2504.1376953125,2816.8125,2683.037109375,2079.083984375,4030.556640625,2459.6640625,2680.9091796875,2937.6982421875,2221.0556640625
166,2688.3544921875,3011.3876953125,2099.966796875,2590.4453125,2875.0029296875,2777.037109375,1610.90234375,4202.9443359375,2385.7236328125,2533.7470703125,2930.0537109375,2334.8173828125
167,2779.185546875,3063.79296875,2069.46484375,2624.3671875,2611.7333984375,2942.3603515625,1292.875,4170.0888671875,2277.802734375,2513.2568359375,2915.380859375,2422.8740234375
168,2812.189453125,3133.8994140625,2394.376953125,2686.369140625,2770.603515625,2894.048828125,1095.806640625,4070.537109375,2284.015625,2430.8837890625,2928.7783203125,2465.8359375
169,2630.1708984375,3203.2998046875,2174.2939453125,2497.9697265625,2820.9501953125,2748.7255859375,1129.291015625,3998.2265625,2350.9267578125,2525.7607421875,2847.4521484375,2343.7626953125
170,2851.1611328125,3111.67578125,1379.3740234375,2698.6005859375,2631.638671875,2875.7021484375,1242.642578125,4155.6337890625,2346.8291015625,2564.2529296875,2993.3955078125,2394.6455078125
171,2821.2392578125,3102.080078125,1525.208984375,2620.4111328125,2632.7763671875,2859.259765625,1443.8134765625,4336.1943359375,2198.74609375,2493.228515625,2937.703125,2441.13671875
172,2889.9794921875,3200.71875,2372.875,2712.556640625,2835.169921875,3049.8515625,1661.6064453125,4445.1513671875,2469.1357421875,2534.4560546875,3078.55078125,2564.8876953125
173,2692.123046875,3194.7978515625,2108.033203125,2668.3671875,2572.2548828125,2863.0126953125,1919.115234375,4520.3076171875,2216.61328125,2449.4072265625,2993.8759765625,2379.6787109375
174,2816.4453125,3280.9580078125,1376.86328125,2789.2412109375,2666.880859375,2798.8369140625,2152.109375,4284.09765625,2401.1396484375,2362.8984375,3137.0244140625,2504.9658203125
175,2721.9580078125,3210.9697265625,1662.029296875,2639.3974609375,2825.3681640625,2793.0546875,2338.62109375,4198.0888671875,2391.83984375,2611.259765625,2938.5166015625,2322.8818359375
176,2759.79296875,3249.55078125,2469.263671875,2668.7548828125,2769.9111328125,2822.7763671875,2665.0751953125,4310.244140625,2473.2744140625,2534.017578125,2998.2392578125,2406.3310546875
177,2720.681640625,3229.3291015625,2039.3349609375,2537.333984375,2813.630859375,2790.974609375,2664.5537109375,4496.9521484375,2402.8603515625,2641.3037109375,2906.32421875,2293.1240234375
178,2980.0703125,3289.8056640625,1188.3876953125,2845.12109375,2633.5673828125,2981.3642578125,2680.98828125,4618.9541015625,2309.1279296875,2328.0791015625,3155.9951171875,2589.4306640625
179,2821.44140625,3260.7373046875,1358.06640625,2725.8115234375,2623.5732421875,2892.7734375,2704.5302734375,4611.953125,2319.8564453125,2517.8232421875,3013.904296875,2450.291015625
180,2808.171875,3310.2568359375,2226.63671875,2612.7001953125,2701.029296875,2706.0107421875,2579.73828125,4430.392578125,2376.7236328125,2410.576171875,3091.7314453125,2355.908203125
181,2792.28125,3368.171875,1895.3544921875,2654.4775390625,2826.3271484375,2789.455078125,2349.0244140625,4336.9658203125,2456.5947265625,2660.67578125,3135.3486328125,2368.7861328125
182,2868.3369140625,3380.015625,1244.314453125,2794.35546875,2806.9111328125,2853.630859375,2177.5625,4426.4892578125,2630.6328125,2586.0107421875,3178.349609375,2493.943359375
183,2901.3037109375,3409.9912109375,1069.0712890625,2729.763671875,2713.814453125,2860.259765625,2033.7119140625,4592.865234375,2344.4599609375,2616.1875,3224.9501953125,2428.7060546875
184,2719.62109375,3365.0029296875,1986.5498046875,2624.7294921875,2696.142578125,2749.0625,2166.2138671875,4682.669921875,2325.2939453125,2402.2890625,3011.955078125,2306.125
185,2835.8623046875,3377.9853515625,1847.5322265625,2697.552734375,2695.65234375,2764.3564453125,2222.845703125,4545.1455078125,2432.91015625,2517.0400390625,3044.0224609375,2388.0322265625
186,2743.947265625,3443.4833984375,1233.6357421875,2685.4921875,2782.529296875,2773.2265625,2518.6708984375,4486.4521484375,2498.958984375,2607.10546875,3057.4169921875,2239.0908203125
187,2745.6005859375,3499.2421875,1670.396484375,2724.7724609375,2839.189453125,2817.6650390625,2711.3310546875,4613.861328125,2521.822265625,2568.451171875,3084.8017578125,2358.8974609375
188,2925.876953125,3526.1162109375,2471.0400390625,2895.6044921875,2665.4521484375,2943.4189453125,2942.1865234375,4669.8095703125,2405.44921875,2590.330078125,3221.744140625,2522.72265625
189,2819.6513671875,3488.4453125,2324.0380859375,2800.970703125,2599.3193359375,2916.126953125,2935.4736328125,4777.1171875,2385.4599609375,2371.4931640625,3164.63671875,2439.1689453125
190,2845.1982421875,3479.109375,1621.11328125,2798.314453125,2905.0009765625,2970.751953125,3009.1220703125,4689.787109375,2587.181640625,2660.271484375,3212.7470703125,2393.26953125
191,2815.2666015625,3490.4169921875,1764.3857421875,2765.5830078125,2755.9326171875,3025.830078125,3083.4072265625,4576.1435546875,2577.20703125,2396.3701171875,3126.2451171875,2532.8408203125
192,2920.2275390625,3415.935546875,2312.859375,2878.3857421875,2861.896484375,2882.330078125,2934.1376953125,4627.9873046875,2808.7705078125,2632.1474609375,3193.4189453125,2529.45703125
193,2786.212890625,3471.96875,2110.630859375,2846.1474609375,2599.576171875,2901.8779296875,2837.33203125,4752.7607421875,2209.783203125,2151.998046875,3135.953125,2421.4482421875
194,2896.1689453125,3457.40234375,1290.3642578125,2820.548828125,2722.8408203125,3022.40234375,2814.8828125,4757.828125,2499.0947265625,2416.3701171875,3152.3564453125,2497.046875
195,2750.6923828125,3494.462890625,1568.9072265625,2697.6806640625,2758.498046875,2956.853515625,2873.5244140625,4610.3271484375,2535.4013671875,2481.8251953125,3095.19140625,2405.58984375
196,2693.666015625,3509.5927734375,2448.015625,2754.1630859375,2682.712890625,2888.8134765625,2924.3359375,4548.859375,2486.46875,2440.4599609375,3067.4990234375,2324.9482421875
197,2635.3212890625,3578.03125,2528.8662109375,2656.2353515625,2780.76953125,2852.923828125,2924.533203125,4661.169921875,2676.93359375,2548.306640625,2957.48046875,2352.236328125
198,2854.373046875,3624.1083984375,1145.689453125,2865.3916015625,2714.845703125,2924.154296875,2962.2646484375,4744.1181640625,2433.86328125,2469.6416015625,3066.0634765625,2525.4482421875
199,2687.046875,3605.244140625,1232.5341796875,2755.044921875,2627.67578125,2790.2734375,3029.900390625,4819.5615234375,2507.4345703125,2496.603515625,2937.0244140625,2512.8603515625
200,2689.189453125,3559.1982421875,1515.3369140625,2725.2236328125,2826.525390625,2879.76171875,3273.40234375,4722.44921875,2679.51171875,2327.169921875,2953.34765625,2372.037109375
201,2775.986328125,3599.6279296875,1513.9345703125,2828.2265625,2691.8671875,3080.1708984375,3243.1455078125,4787.6845703125,2497.8369140625,2480.27734375,3154.771484375,2544.3525390625
202,2845.3125,3609.7958984375,1234.7529296875,2814.8671875,2888.37109375,2999.16015625,3266.142578125,4830.7265625,2831.599609375,2554.66015625,3115.787109375,2557.2216796875
203,2774.4072265625,3634.845703125,1595.1044921875,2724.9228515625,2690.5224609375,2857.498046875,3130.6337890625,4891.75390625,2364.2265625,2370.06640625,3043.06640625,2352.5625
204,2835.4833984375,3654.9482421875,2091.4267578125,2823.2861328125,2655.5927734375,2964.5859375,3033.78125,4702.94140625,2546.5712890625,2288.23828125,3080.365234375,2502.50390625
205,2708.7021484375,3631.1220703125,1984.146484375,2800.1689453125,2690.5263671875,2824.271484375,2986.6552734375,4723.7607421875,2492.30859375,2415.80078125,2938.279296875,2435.3037109375
206,2711.2177734375,3630.8818359375,1633.7431640625,2814.2021484375,2741.74609375,2994.9599609375,3091.861328125,4832.138671875,2495.681640625,2304.0498046875,3008.9775390625,2519.0791015625
207,2607.7626953125,3646.58984375,1922.185546875,2746.978515625,2838.1005859375,2759.9033203125,3228.9951171875,4889.43359375,2618.4755859375,2459.2509765625,2937.9697265625,2369.2275390625
208,2861.3359375,3726.7568359375,2270.1865234375,2889.44140625,2830.478515625,2936.9501953125,3310.7392578125,4752.3115234375,2568.302734375,2581.9091796875,3026.6640625,2565.03515625
209,2611.23828125,3680.3759765625,1896.220703125,2846.88671875,2766.9658203125,2904.201171875,3438.7802734375,4770.1044921875,2473.798828125,2394.8779296875,3048.9453125,2482.5830078125
210,2843.0341796875,3761.57421875,1510.09375,3027.6865234375,2760.580078125,3060.650390625,3556.5595703125,4804.84375,2508.7734375,2535.6796875,3043.00390625,2754.07421875
211,2696.5458984375,3732.142578125,1679.0546875,2827.56640625,2737.8896484375,2939.4912109375,3566.447265625,4898.9912109375,2461.2138671875,2187.189453125,2936.078125,2508.4462890625
212,2722.5908203125,3740.060546875,1889.1123046875,2869.7509765625,2850.296875,2871.6962890625,3420.912109375,4786.16796875,2617.5322265625,2441.6083984375,2998.9189453125,2555.9501953125
213,2835.6455078125,3815.962890625,2096.24609375,2917.935546875,2684.3251953125,2974.92578125,3311.1494140625,4789.4501953125,2349.9443359375,2231.58984375,3193.7109375,2687.841796875
214,2720.2890625,3794.1005859375,1382.25390625,2906.7080078125,2741.3662109375,2889.818359375,3192.5546875,4767.943359375,2424.1923828125,2419.00390625,3020.697265625,2610.919921875
215,2723.2861328125,3760.51171875,1561.771484375,2830.75,2685.93359375,2908.416015625,3241.5322265625,4634.4970703125,2480.0205078125,2315.23046875,2981.7841796875,2448.41015625
216,2607.6728515625,3763.6669921875,1993.0625,2743.9111328125,2754.6201171875,2785.9404296875,3340.5087890625,4537.734375,2434.8974609375,2298.9404296875,2995.8662109375,2487.4345703125
217,2713.1689453125,3702.197265625,1834.58203125,2922.55078125,2763.001953125,2892.5703125,3525.6142578125,4610.3994140625,2495.3486328125,2406.50390625,3168.470703125,2544.71875
218,2786.4013671875,3716.564453125,1242.0244140625,2985.1298828125,2737.5029296875,3035.431640625,3673.734375,4664.7744140625,2479.7236328125,2311.8505859375,3241.265625,2739.4462890625
219,2669.736328125,3759.666015625,1192.0986328125,2918.7236328125,2703.3662109375,2822.5048828125,3823.42578125,4684.4140625,2515.1298828125,2364.1435546875,3126.173828125,2611.06640625
220,2618.900390625,3730.3623046875,1680.3212890625,2948.3583984375,2681.7216796875,2901.478515625,3928.5078125,4656.7265625,2435.138671875,2214.9755859375,3149.84765625,2662.7685546875
221,2681.427734375,3779.4541015625,1588.2958984375,2911.2412109375,2746.853515625,2853.091796875,3921.7236328125,4632.625,2398.4638671875,2266.173828125,3232.3837890625,2645.0673828125
222,2667.7080078125,3759.92578125,1451.6064453125,3019.455078125,2818.009765625,2834.716796875,3706.2744140625,4652.8671875,2604.9130859375,2341.1015625,3170.650390625,2679.720703125
223,2719.2265625,3741.421875,1690.1767578125,2924.5751953125,2664.30859375,2911.1513671875,3507.458984375,4815.3212890625,2356.8486328125,2436.9375,3081.9443359375,2620.19140625
224,2580.6083984375,3733.0283203125,1955.947265625,2877.806640625,2741.328125,2776.41015625,3458.9326171875,4821.2001953125,2522.060546875,2302.2568359375,3008.244140625,2429.2275390625
225,2743.091796875,3677.396484375,2007.92578125,3072.8330078125,2803.03125,2992.427734375,3475.3271484375,4887.6943359375,2571.7998046875,2553.77734375,3275.7744140625,2622.4375
226,2748.0556640625,3679.9443359375,1494.1328125,2903.060546875,2749.2880859375,2886.837890625,3635.7412109375,4823.2060546875,2561.9677734375,2259.662109375,3181.3955078125,2518.5849609375
227,2667.3681640625,3684.87890625,1638.5966796875,2915.5478515625,2656.876953125,2866.6025390625,3773.212890625,4771.091796875,2621.974609375,2408.9423828125,3230.4462890625,2456.5517578125
228,2630.900390625,3675.7666015625,2061.693359375,3013.337890625,2712.8505859375,2890.0546875,3989.8857421875,4782.771484375,2510.5576171875,2163.0078125,3228.806640625,2580.4482421875
229,2763.107421875,3653.0615234375,1736.5146484375,3040.53515625,2723.115234375,2972.0859375,4113.78125,4810.576171875,2531.693359375,2409.8701171875,3348.5517578125,2620.10546875
230,2715.7041015625,3704.4716796875,1256.7666015625,3009.54296875,2697.84765625,2977.7587890625,4190.544921875,4927.765625,2438.7060546875,2136.0400390625,3270.4208984375,2743.6630859375
231,2608.265625,3666.384765625,1329.6484375,2966.5537109375,2639.2578125,2937.7412109375,4172.1474609375,4888.7529296875,2356.771484375,2248.0556640625,3212.009765625,2489.44140625
232,2604.9248046875,3709.44140625,1586.318359375,3114.1591796875,2726.9013671875,2896.9921875,4020.931640625,4854.3173828125,2620.310546875,2168.6357421875,3303.9814453125,2536.4775390625
233,2517.37109375,3638.958984375,1557.728515625,2860.55078125,2663.3583984375,2867.560546875,3852.0517578125,4877.1611328125,2372.6357421875,2098.1953125,3227.646484375,2478.0107421875
234,2526.697265625,3647.5087890625,1288.2978515625,2932.1201171875,2694.8369140625,2877.25390625,3791.927734375,4869.328125,2395.2314453125,2125.0986328125,3208.560546875,2505.6611328125
235,2471.638671875,3694.2158203125,1185.4560546875,2830.6513671875,2518.521484375,2894.060546875,3807.5400390625,4869.6845703125,2196.4130859375,2068.3642578125,3252.5771484375,2470.8564453125
236,2593.2646484375,3710.041015625,1532.025390625,2845.5625,2456.2275390625,2877.974609375,3962.2001953125,4905.23828125,2301.775390625,2138.2568359375,3223.4580078125,2349.251953125
237,2555.197265625,3732.302734375,1602.4267578125,2973.185546875,3003.111328125,2850.8984375,4042.322265625,4812.697265625,2706.220703125,2411.0458984375,3335.615234375,2534.9765625
238,2598.7275390625,3737.7255859375,1379.4912109375,2926.6044921875,2850.740234375,2882.0703125,4255.2783203125,4746.5224609375,2641.2578125,2420.87890625,3345.5263671875,2453.052734375
239,2747.1513671875,3791.1728515625,1431.0126953125,3006.0126953125,2785.501953125,3052.462890625,4358.12890625,4798.875,2484.990234375,2123.75,3553.2958984375,2628.1162109375
240,2583.8798828125,3787.1826171875,1711.103515625,2897.138671875,2742.0166015625,2888.830078125,4378.1962890625,4876.287109375,2483.78125,2229.552734375,3333.9306640625,2469.2109375
241,2617.3232421875,3850.2314453125,1739.6953125,2934.0966796875,2703.5029296875,2935.5537109375,4381.8193359375,4715.056640625,2425.1181640625,2093.404296875,3424.4912109375,2494.205078125
242,2669.619140625,3851.9755859375,1446.3671875,2977.7275390625,2834.404296875,2836.162109375,4296.41796875,4715.3037109375,2678.0478515625,2393.888671875,3392.48046875,2590.50390625
243,2661.921875,3805.234375,1400.88671875,3026.958984375,2659.9287109375,3012.1826171875,4178.5361328125,4771.931640625,2334.2080078125,2075.37890625,3546.640625,2658.751953125
244,2490.9921875,3812.8408203125,1736.595703125,2827.32421875,2672.099609375,2788.91015625,4071.6376953125,4899.267578125,2548.7802734375,2140.861328125,3429.74609375,2485.0537109375
245,2602.65625,3888.0107421875,1584.98046875,2941.2529296875,2691.759765625,2962.6767578125,4132.8740234375,4853.30859375,2541.869140625,2053.1533203125,3497.5185546875,2623.3046875
246,2655.0009765625,3887.9921875,1427.8349609375,3083.685546875,2712.1708984375,3000.490234375,4182.7802734375,4882.8408203125,2431.1572265625,2205.341796875,3507.412109375,2787.732421875
247,2557.2138671875,3877.1572265625,1367.072265625,2893.7705078125,2677.8525390625,2909.474609375,4313.853515625,4867.7294921875,2500.30859375,2139.96875,3479.48828125,2573.625
248,2551.7890625,3924.9384765625,1726.1533203125,2905.3134765625,2818.794921875,2877.7314453125,4440.783203125,4882.7705078125,2598.2158203125,2237.69140625,3492.4521484375,2430.9140625
249,2588.94140625,3893.5751953125,1611.3134765625,2899.5048828125,2745.6650390625,2883.5224609375,4560.263671875,4846.6591796875,2509.677734375,2300.283203125,3545.970703125,2546.080078125
250,2608.7744140625,3935.72265625,1355.7490234375,2839.9736328125,2865.654296875,2964,4591.412109375,4843.8515625,2632.5439453125,2212.88671875,3575.1416015625,2653.9853515625
251,2518.7099609375,3988.7431640625,1467.4052734375,2842.41015625,2734.455078125,2830.095703125,4573.853515625,4890.12109375,2510.498046875,2133.796875,3546.4912109375,2356.3203125
252,2654.7265625,4034.6796875,1632.5791015625,2951.5771484375,2915.5341796875,2985.9775390625,4504.064453125,4929.4130859375,2677.6181640625,2441.6572265625,3635.509765625,2642.8642578125
253,2571.748046875,3900.3271484375,1702.07421875,2898.896484375,2694.5283203125,2875.7119140625,4402.056640625,4910.287109375,2377.5283203125,2018.537109375,3640.12109375,2507.1220703125
254,2459.0107421875,3957.8349609375,1474.1474609375,2696.8720703125,2662.5546875,2787.380859375,4399.7021484375,4901.9755859375,2521.8671875,2215.369140625,3578.3212890625,2389.669921875
255,2529.150390625,3965.0107421875,1652.591796875,2839.0810546875,2860.4443359375,2815.8359375,4440.6884765625,4944.7880859375,2613.171875,2340.533203125,3565.0537109375,2498.9091796875
256,2591.6640625,4025.2138671875,1856.4755859375,2788.23828125,2738.1123046875,2923.056640625,4492.779296875,4851.75,2578.3037109375,2210.0595703125,3692.2001953125,2448.498046875
257,2572.98828125,4055.8828125,1914.7353515625,2825.826171875,2766.5859375,2845.5859375,4614.9189453125,4859.1298828125,2535.9462890625,2310.47265625,3646.0625,2391.162109375
258,2570.3623046875,4087.4130859375,1857.0185546875,2796.89453125,2700.48828125,2848.2890625,4655.2275390625,4815.59765625,2457.0859375,2365.853515625,3662.2744140625,2496.271484375
259,2591.478515625,4096.2294921875,1770.591796875,2895.6806640625,2689.677734375,2927.1064453125,4716.6787109375,4759.291015625,2536.462890625,2107.625,3560.6181640625,2501.162109375
260,2566.4365234375,4152.0771484375,2022.3544921875,2789.0478515625,2788.462890625,2913.728515625,4713.6962890625,4870.10546875,2597.408203125,2446.9892578125,3654.037109375,2468.6494140625
261,2597.5732421875,4135.478515625,2042.92578125,2845.80859375,2751.80078125,2967.669921875,4681.0068359375,4871.5078125,2579.662109375,2242.8232421875,3645.3505859375,2442.48828125
262,2555.197265625,4223.7373046875,1788.4462890625,2859.6923828125,2817.3193359375,2969.8134765625,4561.8037109375,4928.5185546875,2627.4873046875,2478.224609375,3591.5732421875,2495.1796875
263,2724.9521484375,4165.8642578125,1804.138671875,2903.1083984375,2482.779296875,2968.8837890625,4582.2421875,4878.3349609375,2347.2431640625,2042.34375,3724.26953125,2665.5478515625
264,2616.0810546875,4148.3115234375,1705.2119140625,2904.5439453125,2494.2177734375,3007.51953125,4540.2861328125,4842.302734375,2272.333984375,2268.2666015625,3599.568359375,2561.9375
265,2641.484375,4227.5595703125,1919.294921875,2956.0400390625,2755.7841796875,3017.1435546875,4649.4365234375,4877.2998046875,2617.2236328125,2184.078125,3657.53515625,2510.271484375
266,2645.404296875,4354.5087890625,1907.3056640625,2903.8857421875,2681.625,2916.5205078125,4671.453125,4979.4990234375,2523.572265625,2416.23828125,3620.20703125,2504.447265625
267,2585.6591796875,4434.3359375,1985.7421875,2848.115234375,2590.994140625,2897.439453125,4734.802734375,4887.9541015625,2477.6787109375,2089.3017578125,3547.5859375,2417.119140625
268,2481.7939453125,4463.990234375,2051.048828125,2672.0400390625,2766.0029296875,2851.015625,4751.29296875,4897.9794921875,2507.3388671875,2344.87109375,3479.6015625,2264.75
269,2544.3984375,4535.58984375,2127.220703125,2788.935546875,2510.9736328125,2912.2109375,4724.28515625,4915.818359375,2437.8681640625,2030.7763671875,3585.28515625,2405.28125
270,2570.9267578125,4591.8525390625,1969.91796875,2800.9873046875,2568.9853515625,3002.2216796875,4648.224609375,4933.9208984375,2357.2958984375,2119.794921875,3640.2705078125,2490.458984375
271,2648.5908203125,4734.95703125,2036.1044921875,2912.955078125,2597.1962890625,3086.6328125,4688.0869140625,4947.029296875,2475.4912109375,2123.5791015625,3716.9794921875,2515.658203125
272,2723.44140625,4702.625,2008.609375,2961.84765625,2753.392578125,3042.1806640625,4708.380859375,4934.8125,2562.17578125,2187.5234375,3622.283203125,2482.587890625
273,2561.86328125,4873.138671875,2093.458984375,2785.15625,2621.2294921875,2992.9609375,4716.2900390625,4939.01171875,2351.623046875,2128.8544921875,3724.267578125,2519.75
274,2565.3681640625,4888.8583984375,2016.517578125,2815.7470703125,2821.080078125,3062.9716796875,4768.296875,4994.017578125,2572.80078125,2225.3583984375,3630.5419921875,2436.09375
275,2534.8740234375,4980.701171875,2027.736328125,2827.6884765625,2628.3251953125,3005.8193359375,4836.1474609375,4890.5126953125,2543.6123046875,2283.2109375,3644.5517578125,2442.03515625
276,2537.3544921875,5118.4716796875,2306.201171875,2888.337890625,2779.1240234375,3085.060546875,4848.138671875,4968.7431640625,2670.5166015625,2176.6240234375,3660.169921875,2509.7802734375
277,2689.56640625,5222.765625,2186.951171875,2949.8837890625,2640.142578125,3176.431640625,4830.3720703125,4936.3271484375,2377.7158203125,2241.400390625,3572.158203125,2580.8505859375
278,2621.6328125,5188.4560546875,2146.65625,2845.3232421875,2652.78515625,3061.0517578125,4726.76171875,4882.6845703125,2489.931640625,1984.83984375,3636.318359375,2477.13671875
279,2594.62890625,5152.7607421875,2155.828125,2832.6328125,2798.5126953125,3034.7607421875,4668.3291015625,4868.2978515625,2634.98828125,2494.134765625,3556.580078125,2502.5322265625
280,2636.6953125,5181.8994140625,2214.0673828125,2926.0546875,2669.4580078125,3187.11328125,4726.8369140625,4820.279296875,2523.7529296875,2045.2392578125,3688.21484375,2542.6669921875
281,2596.673828125,5226.5400390625,2200.7705078125,2799.0869140625,2763.416015625,3119.3916015625,4773.8310546875,4861.1875,2573.21484375,2452.0283203125,3631.1962890625,2529.3359375
282,2474.27734375,5283.3359375,2046.12109375,2763.7041015625,2625.083984375,3028.17578125,4783.830078125,4921.4853515625,2513.49609375,2262.4130859375,3553.373046875,2358.224609375
283,2801.75,5294.056640625,2092.0517578125,2929.5166015625,2558.7890625,3200.818359375,4874.7734375,4918.2607421875,2377.3818359375,2066.2890625,3653.7431640625,2649.3779296875
284,2668.2998046875,5293.5966796875,2251.75,2921.865234375,2622.5615234375,3111.30078125,4836.9375,4926.583984375,2538.3544921875,2248.4033203125,3504.4501953125,2580.59375
285,2499.677734375,5300.0146484375,2239.4970703125,2663.400390625,2817.1982421875,2903.36328125,4838.87109375,4979.0283203125,2686.1494140625,2108.240234375,3469.9736328125,2326.2509765625
286,2833.58984375,5345.603515625,2180.6943359375,3025.9609375,2696.70703125,3317.4921875,4731.4189453125,4952.671875,2549.580078125,2457.341796875,3640.806640625,2648.734375
287,2766.619140625,5379.638671875,2098.458984375,2966.2236328125,2643.7724609375,3196.2822265625,4608.5244140625,4940.9453125,2591.478515625,1941.587890625,3649.9716796875,2630.6728515625
288,2589.0078125,5375.0283203125,2189.876953125,2819.1376953125,2567.939453125,3129.5517578125,4674.7421875,4939.2587890625,2478.7080078125,2102.8427734375,3583.421875,2625.5625
289,2782.8515625,5425.642578125,2326.033203125,3002.3984375,2751.8623046875,3234.248046875,4708.4287109375,4982.0390625,2602.58203125,2175.7470703125,3574.8125,2669.6611328125
290,2635.091796875,5455.431640625,2296.185546875,2809.3251953125,2585.455078125,3221.9736328125,4772.013671875,4917.5673828125,2521.17578125,2110.2783203125,3651.7978515625,2454.3984375
291,2634.1826171875,5469.7939453125,2150.8330078125,2887.4931640625,2709.6064453125,3253.4736328125,4826.966796875,4930.875,2614.892578125,2225.986328125,3640.072265625,2498.4697265625
292,2516.5703125,5483.583984375,2244.2353515625,2800.6337890625,2836.71875,3120.783203125,4835.9716796875,4953.4365234375,2752.162109375,2187.0205078125,3555.451171875,2424.0634765625
293,2684.0712890625,5409.8984375,2262.63671875,2758.6376953125,2599.1181640625,3087.5625,4727.076171875,4909.9833984375,2441.1240234375,2226.783203125,3527.619140625,2418.349609375
294,2693.6787109375,5417.9794921875,2204.6201171875,2928.111328125,2632.4638671875,3250.84765625,4599.9091796875,4960.8671875,2554.443359375,1952.3447265625,3677.17578125,2512.958984375
295,2473.4375,5430.0205078125,2179.111328125,2753.24609375,2575.7822265625,3110.9599609375,4579.6826171875,4918.220703125,2472.1884765625,2323.4033203125,3510.6650390625,2383.8525390625
