step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-response_length/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-response_length/mean_step
28,2443.25,3774.2587890625,2174.5498046875,3487.84375,3311.7060546875,3166.9189453125,3128.083984375,3167.24609375,2103.697265625
29,2042.9326171875,3708.4150390625,2268.822265625,3305.83984375,2718.265625,2637.8330078125,2841.283203125,2909.3681640625,2107.8154296875
30,2313.767578125,3227.5859375,2088.08203125,2904.7841796875,2843.484375,2688.2265625,2918.3291015625,2947.638671875,2195.396484375
31,2370.064453125,3302.0068359375,2251.4794921875,3044.826171875,2831.595703125,2809.423828125,2740.8837890625,2819.8544921875,2203.681640625
32,2282.408203125,2918.134765625,2163.0947265625,2685.5185546875,2436.77734375,2430.7626953125,2654.06640625,2728.4814453125,2273.9931640625
33,2366.9541015625,2992.7333984375,2263.072265625,2810.521484375,2425.8115234375,2528.43359375,2504.298828125,2480.603515625,2307.107421875
34,2346.38671875,2650.1220703125,2166.6337890625,2395.4609375,2171.0693359375,2333.5947265625,2309.4375,2280.1640625,2239.0283203125
35,2450.7001953125,3004.6962890625,2441.3232421875,2713.9794921875,2119.5458984375,2334.451171875,2297.392578125,2245.1611328125,2293.111328125
36,2354.240234375,2692.369140625,2298.6689453125,2476.787109375,1909.1982421875,2068.8232421875,2434.20703125,2285.2431640625,2550.9462890625
37,2596.068359375,2530.482421875,2363.2392578125,2310.1376953125,2009.7099609375,2185.216796875,2128.3623046875,2123.2802734375,2290.3154296875
38,2360.7724609375,2385.2392578125,2255.1044921875,2212.1953125,1863.6494140625,2030.046875,1977.837890625,1930.2685546875,2267.90234375
39,2335.6494140625,2372.39453125,2267.974609375,2167.9208984375,1811.9853515625,1906.6748046875,2049.0673828125,2130.1357421875,2463.080078125
40,2339.275390625,2228.443359375,2184.7666015625,1989.021484375,1817.8427734375,1899.1533203125,2053.390625,2194.6982421875,2450.7919921875
