step,deepseek1.5b_sync_8gpu_lr3e-6-actor/lr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_lr1e-6-actor/lr_step,deepseek1.5b_fa_partial_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-6-actor/lr_step
51,3e-06,1e-05,1e-05,9.537877098354789e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
52,3e-06,1e-05,0,9.514867816012806e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
53,3e-06,1e-05,1e-05,9.491328693914722e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
54,3e-06,1e-05,0,9.46726249448087e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
55,3e-06,1e-05,1e-05,9.442672041986455e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
56,3e-06,1e-05,0,9.417560222230115e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
57,3e-06,1e-05,1e-05,9.391929982195231e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
58,3e-06,1e-05,0,9.365784329704114e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
59,3e-06,1e-05,1e-05,9.339126333065008e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
60,3e-06,1e-05,0,9.311959120712012e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,,1e-06,1e-05,1e-05,1e-06
61,3e-06,1e-05,1e-05,9.284285880837947e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
62,3e-06,1e-05,0,9.25610986102021e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
63,3e-06,1e-05,1e-05,9.22743436783966e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
64,3e-06,1e-05,0,9.198262766492554e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
65,3e-06,1e-05,1e-05,9.168598480395653e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
66,3e-06,1e-05,0,9.138444990784455e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
67,3e-06,1e-05,1e-05,9.107805836304658e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
68,3e-06,1e-05,0,9.076684612596893e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
69,3e-06,1e-05,1e-05,9.045084971874738e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
70,3e-06,1e-05,0,9.013010622496143e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
71,3e-06,1e-05,1e-05,8.98046532852822e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
72,3e-06,1e-05,0,8.94745290930551e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
73,3e-06,1e-05,1e-05,8.91397723898178e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
74,3e-06,1e-05,0,8.880042246075366e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
75,3e-06,1e-05,1e-05,8.845651913008145e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
76,3e-06,1e-05,0,8.810810275638181e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
77,3e-06,1e-05,1e-05,8.775521422786104e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
78,3e-06,1e-05,0,8.739789495755254e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
79,3e-06,1e-05,1e-05,8.703618687845697e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
80,3e-06,1e-05,0,8.667013243862113e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
81,3e-06,1e-05,1e-05,8.629977459615653e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
82,3e-06,1e-05,0,8.59251568141981e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
83,3e-06,1e-05,1e-05,8.554632305580355e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
84,3e-06,1e-05,0,8.516331777879399e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
85,3e-06,1e-05,1e-05,8.477618593053693e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
86,3e-06,1e-05,0,8.438497294267117e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
87,3e-06,1e-05,1e-05,8.39897247257754e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
88,3e-06,1e-05,0,8.359048766398032e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
89,3e-06,1e-05,1e-05,8.318730860952523e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
90,3e-06,1e-05,0,8.278023487725981e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
91,3e-06,1e-05,1e-05,8.236931423909138e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
92,3e-06,1e-05,0,8.19545949183788e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
93,3e-06,1e-05,1e-05,8.15361255842731e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
94,3e-06,1e-05,0,8.111395534600604e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
