step,deepseek1.5b_sync_8gpu_lr3e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_lr1e-6-critic/score/mean_step,deepseek1.5b_fa_partial_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_lr1e-6-critic/score/mean_step
11,-0.7594277858734131,-0.6973252296447754,-0.6509079933166504,-0.4352889060974121,,,-0.7988674640655518,,-1.0578463077545166,-0.6068365573883057,-0.3877894878387451,-1.1226696968078609
12,-0.6366145610809326,-0.554131031036377,-0.6970853805541992,,-0.9164507389068604,-0.4135158061981201,,-0.4066290855407715,-1.1163225173950195,-0.7240488529205322,-0.24488449096679688,-0.9948134422302246
13,,-0.5401246547698975,-0.49361324310302734,,,,,,-1.0828025341033936,-0.40749263763427734,-0.2915022373199463,-0.9379503726959229
14,-0.5279927253723145,-0.4993407726287842,,-0.2974247932434082,,-0.3597090244293213,-0.2917172908782959,-0.5509305000305176,-0.8178246021270752,-0.2337937355041504,-0.24164462089538577,-0.8774464130401611
15,-0.4285712242126465,-0.3811001777648926,-0.5152721405029297,-0.12036752700805664,-0.632544755935669,-0.23386740684509277,-0.5473504066467285,-0.7081444263458252,-0.9826009273529052,-0.3832364082336426,-0.09784197807312012,-0.8814620971679688
16,-0.4045839309692383,,-0.3667950630187988,,-0.4512717723846435,,-0.45182085037231445,,-0.8508560657501221,-0.2682642936706543,-0.12458944320678712,-0.8781900405883789
17,-0.1797468662261963,-0.2029414176940918,-0.4376993179321289,-0.030373573303222656,-0.47434568405151367,-0.07197690010070801,-0.45126795768737793,,-0.8794784545898438,-0.3594791889190674,0.028760671615600582,-0.639854907989502
18,-0.13356637954711914,-0.2332150936126709,-0.3893318176269531,0.006541252136230469,,-0.0389554500579834,,,-0.8691506385803223,-0.3000304698944092,0.01801609992980957,-0.6819612979888916
19,-0.30859971046447754,-0.33617305755615234,-0.2579617500305176,-0.13643598556518555,-0.23396539688110352,,-0.29230403900146484,-0.8742935657501221,-0.7254674434661865,-0.15476012229919434,-0.1236441135406494,-0.8253111839294434
20,,-0.478327751159668,-0.3854343891143799,-0.22487783432006836,,-0.2484266757965088,,-0.93157696723938,-0.9094505310058594,-0.2281327247619629,-0.2162570953369141,-0.7021677494049072
21,-0.17093563079833984,-0.19690871238708496,,-0.011726140975952148,-0.34042859077453613,-0.04657721519470215,-0.3013951778411865,-0.9886622428894044,-0.72517991065979,-0.15885615348815918,0.012843847274780272,-0.5841946601867676
22,,-0.26590418815612793,-0.4229068756103515,-0.026781558990478516,-0.4360842704772949,-0.09772396087646484,-0.4832146167755127,-0.9856400489807128,-0.9055657386779784,-0.38967418670654297,-0.0018568038940429688,-0.5777692794799805
23,,-0.33890604972839355,-0.13605952262878418,-0.10660934448242188,,-0.12401294708251952,-0.13472890853881836,-1.003197193145752,-0.5746650695800781,-0.1232917308807373,-0.09070658683776855,-0.6934604644775391
24,-0.18245291709899905,-0.27466464042663574,-0.5078942775726318,-0.11114883422851562,-0.2738351821899414,-0.13468623161315918,-0.3864328861236572,-1.0076396465301514,-0.7307803630828857,-0.2673487663269043,-0.04698801040649414,-0.5804731845855713
25,-0.1321277618408203,-0.1869804859161377,-0.3714768886566162,-0.04782986640930176,,,-0.41552138328552246,-1.0058019161224363,-0.8455319404602051,-0.29738807678222656,-0.013574838638305664,-0.4841976165771485
26,-0.13035345077514648,-0.16446805000305176,-0.12249088287353516,-0.04231524467468262,,,,-1.0018832683563232,-0.4321601390838623,-0.020183086395263672,-0.048483848571777344,-0.48499059677124023
27,-0.1759340763092041,-0.18722748756408691,,,,,,,-0.4722299575805664,-0.1913857460021973,-0.0863652229309082,-0.5497019290924072
28,-0.2344832420349121,,-0.368229866027832,-0.1357288360595703,-0.19418787956237793,-0.1381993293762207,-0.4615635871887207,-1.0014514923095703,-0.5961127281188965,-0.1399693489074707,-0.12060856819152832,-0.473567247390747
