step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/eos_rate_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/eos_rate_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/eos_rate_step,deepseek1.5b_fa_partial_lr1e-6-training/eos_rate_step,deepseek1.5b_fa_partial_lr1e-5-training/eos_rate_step
36,0.9111328125,0.9833984375,,0.79296875,0.9931640625
37,0.9384765625,0.9912109375,0.931640625,0.828125,0.9990234375
38,0.9560546875,0.9736328125,0.9873046875,0.7451171875,0.9931640625
39,0.9697265625,0.9912109375,,0.83984375,0.9951171875
40,0.9560546875,0.9912109375,0.974609375,0.8349609375,0.998046875
41,0.9462890625,0.9921875,0.982421875,0.7880859375,1
42,0.98046875,0.990234375,0.9892578125,0.8037109375,0.998046875
43,0.98046875,0.9951171875,1,0.87109375,1
44,0.96875,1,1,0.8330078125,1
45,0.9775390625,0.9990234375,0.9990234375,0.859375,0.9970703125
46,0.970703125,0.9970703125,0.998046875,0.8359375,1
47,0.9755859375,0.9970703125,0.9990234375,0.8583984375,0.998046875
48,0.9775390625,1,1,0.8583984375,1
49,0.9853515625,0.9990234375,1,0.900390625,1
50,0.9912109375,1,0.9990234375,0.904296875,1
51,0.9931640625,1,0.998046875,0.9091796875,0.9990234375
52,0.986328125,1,0.998046875,0.91015625,0.9990234375
53,0.9921875,0.998046875,1,0.9208984375,1
54,0.9931640625,1,0.9990234375,0.9306640625,1
55,0.98828125,0.998046875,1,0.9365234375,1
56,0.9912109375,0.998046875,0.9990234375,0.9365234375,0.9990234375
57,0.9951171875,1,0.9990234375,0.9248046875,1
58,0.9970703125,1,0.9990234375,0.94140625,1
59,0.998046875,0.9990234375,1,0.9443359375,1
60,0.998046875,1,1,0.9462890625,1
61,0.9931640625,1,1,0.951171875,1
62,0.998046875,0.9990234375,1,0.9580078125,1
63,0.9990234375,1,1,0.96875,1
64,0.998046875,0.994140625,1,0.9638671875,1
65,0.9990234375,0.998046875,1,0.9755859375,1
66,0.9951171875,1,0.998046875,0.9765625,0.9990234375
67,0.9912109375,1,0.998046875,0.9794921875,1
68,0.998046875,1,0.9970703125,0.96875,1
69,0.99609375,1,0.9990234375,0.984375,1
70,0.99609375,0.9990234375,1,0.9775390625,0.9990234375
71,0.998046875,1,1,0.990234375,1
72,0.998046875,1,1,0.9736328125,1
73,0.9970703125,0.9990234375,1,0.9873046875,1
74,0.9990234375,0.9990234375,1,0.9892578125,1
75,0.99609375,0.994140625,1,0.9892578125,1
76,0.998046875,0.998046875,0.9990234375,0.9892578125,1
77,0.9990234375,0.9990234375,0.99609375,0.98828125,1
78,0.9990234375,0.998046875,0.9970703125,0.9921875,1
79,0.9951171875,1,0.998046875,0.9912109375,1
80,0.998046875,1,1,0.9853515625,1
81,0.9931640625,1,1,0.99609375,0.9990234375
82,0.9931640625,0.998046875,1,0.990234375,1
83,0.998046875,1,1,0.9931640625,1
84,0.9990234375,0.9990234375,1,0.9970703125,1
85,1,0.9990234375,1,0.99609375,1
86,0.994140625,1,0.9990234375,0.998046875,1
87,0.998046875,1,1,0.99609375,1
88,0.9970703125,1,0.9990234375,0.9951171875,1
89,0.9990234375,1,1,1,0.9990234375
90,0.99609375,1,1,0.9990234375,0.9990234375
91,0.9951171875,0.9990234375,1,0.9970703125,1
92,1,0.998046875,1,0.9912109375,1
93,0.9970703125,1,1,1,1
94,0.9873046875,1,1,0.9951171875,1
95,0.9931640625,1,1,0.9990234375,1
96,0.998046875,1,1,0.9951171875,0.9990234375
97,0.9990234375,0.9990234375,1,0.9931640625,1
98,0.990234375,0.998046875,1,0.998046875,1
99,0.9921875,1,1,0.998046875,1
100,0.994140625,0.9990234375,1,0.9990234375,0.9990234375
101,0.984375,0.9990234375,1,0.99609375,1
102,0.9853515625,0.9970703125,1,0.9912109375,1
103,0.994140625,1,1,1,1
104,0.98828125,0.998046875,1,0.9970703125,0.9990234375
105,0.9912109375,1,1,0.9970703125,1
106,0.9951171875,0.9990234375,1,0.998046875,0.9990234375
107,0.994140625,1,1,0.998046875,1
108,0.990234375,0.99609375,1,0.9970703125,0.998046875
109,0.9951171875,1,1,0.9970703125,1
110,0.9951171875,0.9990234375,1,0.998046875,0.9990234375
111,0.9892578125,1,1,0.9970703125,1
112,0.974609375,0.9990234375,1,0.9970703125,1
