step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_ema_step
61,9.668911429374902e-07,9.738926208184522e-07,1.0807406164505282e-06,1.0222078881449809e-06,9.79428360651696e-07,9.717578390568704e-07
62,9.68552709702166e-07,9.772328966563049e-07,1.0812767649831369e-06,1.024552722798557e-06,9.802836039920406e-07,9.718636716398917e-07
63,9.684648765297426e-07,9.779318372189305e-07,1.0807849604993977e-06,1.0235059833678878e-06,9.807760702553472e-07,9.716067363883314e-07
64,9.678908782024411e-07,9.751347085581463e-07,1.0833537293772071e-06,1.0218917164022665e-06,9.789862374124108e-07,9.717123707170652e-07
65,9.674433880133574e-07,9.742889271860217e-07,1.08222001136511e-06,1.0233374515305838e-06,9.78084461322285e-07,9.718998294649312e-07
66,9.684862748465748e-07,9.723554869927725e-07,1.0836914315180803e-06,1.0222990371583932e-06,9.789070930387205e-07,9.69365204131455e-07
67,9.729471648879377e-07,9.7140691442423e-07,1.0826615320911433e-06,1.0248133459427908e-06,9.782451029334112e-07,9.686332062435803e-07
68,9.728561188320802e-07,9.699380372919234e-07,1.0828432474200836e-06,1.0235224239659339e-06,9.77330637929537e-07,9.68691594866305e-07
69,9.692502800132764e-07,9.671685655040816e-07,1.0813899222459314e-06,1.0197528368731349e-06,9.76010842484122e-07,9.685472310361169e-07
70,9.715911460018893e-07,9.627543225533169e-07,1.0780525947301696e-06,1.0213364984300449e-06,9.74389085962325e-07,9.673580371142556e-07
71,9.751728685245527e-07,9.614526699121691e-07,1.074603931007228e-06,1.0219569481619737e-06,9.733409966888029e-07,9.667991955254736e-07
72,9.737698503152667e-07,9.621703928754901e-07,1.0746020510599026e-06,1.0218856653812655e-06,9.724932051585659e-07,9.70342471709794e-07
73,9.736488982458812e-07,9.615941472005095e-07,1.0776041861472156e-06,1.018981555418091e-06,9.739076026940568e-07,9.740424168364074e-07
74,9.75942635977073e-07,9.60025524269141e-07,1.077258101544818e-06,1.020291305722042e-06,9.72462812877105e-07,9.748427617846462e-07
75,9.75300579134436e-07,9.614456465525279e-07,1.077199466059265e-06,1.0193261109838078e-06,9.770517004908804e-07,9.77886439378663e-07
76,9.748240573447408e-07,9.619907716420496e-07,1.0799708916431451e-06,1.0196554952944009e-06,9.773289046410472e-07,9.797770784454601e-07
77,9.70138711685896e-07,9.607397870507502e-07,1.0813223394469763e-06,1.0156673894460889e-06,9.743547933037034e-07,9.779164954972494e-07
78,9.703411810306838e-07,9.599082318899282e-07,1.0775617241543905e-06,1.0142393422240118e-06,9.731737784706937e-07,9.73630108028758e-07
79,9.747840109419826e-07,9.593779576575797e-07,1.0783524755254772e-06,1.0178515606958768e-06,9.778193061001019e-07,9.719297826770165e-07
80,9.744161032994264e-07,9.59849244542851e-07,1.0814738447152352e-06,1.0152425573940223e-06,9.762105227293294e-07,9.744874870027897e-07
