step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_step
192,9.127428621980003e-07,9.225360053723316e-07,1.04592062887464e-06,9.603005214452503e-07,9.077183448001223e-07,9.56805122265991e-07
193,9.260232511386359e-07,9.697752860346705e-07,1.1110958658199668e-06,9.8616360269303e-07,9.1975205412998e-07,9.147205275176688e-07
194,9.91448572394659e-07,9.370843873622592e-07,9.605838183821753e-07,9.757855505536378e-07,8.889694700637728e-07,8.962575274927436e-07
195,8.467019325145669e-07,8.592269835056255e-07,1.041069643052244e-06,9.39289345405224e-07,8.46103655342908e-07,9.492107373902607e-07
196,9.364478633045223e-07,8.898267799599276e-07,1.0651753996318364e-06,9.26983635576466e-07,8.829401748914705e-07,9.612119662359478e-07
197,9.438521803610999e-07,8.949027889305646e-07,9.994291372956929e-07,9.801935426185378e-07,8.776118346251891e-07,9.804234511647371e-07
198,8.700416979979287e-07,9.604307544093953e-07,1.021462919208696e-06,9.854069813360916e-07,9.485523811139007e-07,9.380419379947437e-07
199,9.611233828981784e-07,8.885311721381646e-07,1.018541566554189e-06,1.020927852693075e-06,9.677122825187346e-07,9.849240861077915e-07
200,9.267421031830366e-07,9.343679368701744e-07,1.0500969380031675e-06,9.508078346299491e-07,9.591176689376987e-07,9.367517162395493e-07
201,9.374139043865019e-07,8.938962326676856e-07,1.0283071001293674e-06,9.685034596524285e-07,9.586305419286638e-07,9.64017365826896e-07
202,9.342634732314963e-07,9.221129453773812e-07,1.0459413758326858e-06,9.638926797901719e-07,9.700520013984099e-07,1.0027631255709319e-06
203,8.979782250936951e-07,9.056151277527563e-07,9.365699783113411e-07,9.406092206260977e-07,9.922084432994173e-07,9.588915736801339e-07
204,9.106222463696898e-07,8.586935060280979e-07,1.0843445543618281e-06,9.938025349905438e-07,9.062614021781346e-07,9.441274061483923e-07
205,8.263007525154846e-07,9.265459761045136e-07,1.0145134820389669e-06,8.974904093712895e-07,9.208729482349628e-07,9.430685334642708e-07
206,8.693272484550652e-07,9.59805597121832e-07,9.78844059918492e-07,9.767389978612409e-07,9.087395110903234e-07,9.960273517645477e-07
207,9.189722497239654e-07,8.923127362670915e-07,1.0597356106792772e-06,9.882990891802451e-07,8.970969126121244e-07,9.647110471489846e-07
208,9.04501937420908e-07,9.478551384133069e-07,9.414895046626375e-07,9.682265840814411e-07,9.594454028630345e-07,9.799749222762634e-07
209,9.213972110772015e-07,8.737401110778598e-07,1.073727743666063e-06,1.018201542426331e-06,9.002903885388844e-07,9.710423674668987e-07
210,9.211397285468997e-07,9.568884347698111e-07,1.0132367190523676e-06,9.872844545580124e-07,9.920347766412257e-07,9.587362274217816e-07
211,8.261896983976143e-07,8.656828798466014e-07,1.0343393674345874e-06,9.544271948211092e-07,8.976655722104421e-07,9.227010014637338e-07
212,9.3911720263363e-07,8.749433396555552e-07,1.0578439960557788e-06,1.0062278505270089e-06,9.117879183312606e-07,9.256781816431026e-07
213,9.045837439724117e-07,8.594122850271004e-07,9.97532043666491e-07,9.538173117361825e-07,8.409402322042684e-07,9.504046675648705e-07
214,8.91353653817389e-07,8.864117244256478e-07,9.184992591324678e-07,9.063538267344936e-07,9.209774472939709e-07,9.403579931978693e-07
215,9.000531504438625e-07,9.144578911619239e-07,1.0440027027053615e-06,9.81599415687413e-07,9.415285824657292e-07,9.915165555961803e-07
216,8.446262560513102e-07,8.689602064261525e-07,1.0567284342052354e-06,9.072749435492358e-07,9.359354335641628e-07,9.87406886844491e-07
217,8.371881431061838e-07,9.350184742144859e-07,9.91546245618798e-07,9.380422054536923e-07,8.726149383648136e-07,9.60757247837764e-07
218,8.954098154629947e-07,9.002248334762132e-07,9.402849188311063e-07,9.352592172259299e-07,8.867456525323419e-07,9.165967668999172e-07
219,8.592773353816502e-07,8.946282878367721e-07,1.0203701151266722e-06,9.093420537000168e-07,8.753959983313251e-07,9.701421913626988e-07
220,9.246639894735871e-07,9.322498352804192e-07,1.0409258748727384e-06,9.271718073497492e-07,8.570752328596027e-07,9.321244764787332e-07
221,7.920277676554725e-07,9.120055479052377e-07,9.564349027796356e-07,9.576497480626662e-07,8.84710988476765e-07,9.028132838949339e-07
222,9.26239601795608e-07,9.671863878889716e-07,9.661938914255868e-07,9.555151114270586e-07,9.088284564445755e-07,9.531561702018109e-07
223,9.171986121225272e-07,9.198202334857139e-07,9.63310786452349e-07,9.530845148260954e-07,9.181570637136591e-07,8.936434929257545e-07
224,8.596199822266177e-07,9.716817119252029e-07,1.1116866805022423e-06,9.329114411720585e-07,8.98754516337366e-07,9.698770107395536e-07
225,8.66893532192236e-07,9.036496967015516e-07,9.509281358987651e-07,8.839210284989863e-07,9.220279527070409e-07,9.087950720469641e-07
226,8.757096872615983e-07,9.521869386653891e-07,9.304562536622388e-07,9.058644221702683e-07,9.121007128541718e-07,9.364606737848447e-07
227,8.758979108392054e-07,9.263317736620837e-07,1.0417230454494217e-06,9.512907216284463e-07,9.032067738233772e-07,9.878007931254218e-07
228,8.604333149123246e-07,9.61930576943805e-07,9.559167550562986e-07,8.98230846632954e-07,8.901784500022556e-07,9.235547567863931e-07
229,8.275667492114817e-07,9.488705894844992e-07,9.90141972036431e-07,1.0111796899533981e-06,9.110420850043487e-07,8.956408204008361e-07
230,8.461045185859987e-07,9.531852281913956e-07,9.696041079303346e-07,1.0104473085662235e-06,9.124946453362999e-07,8.598518365503974e-07
231,8.912716403118876e-07,9.349477000208068e-07,1.0026994889709458e-06,9.300853067430504e-07,9.350598122527155e-07,8.567122739600309e-07
232,8.634657193859447e-07,1.0014411872178809e-06,9.381937007792007e-07,1.0592901698065219e-06,8.823522767101417e-07,8.680349519157953e-07
233,9.037472426479207e-07,1.0049936549044236e-06,1.0298911817578118e-06,9.791056014269713e-07,8.968625581815533e-07,9.253455141039733e-07
234,8.474432613424507e-07,9.65748133242408e-07,1.0385685045462403e-06,9.238797981065555e-07,1.0018135038175956e-06,9.192107157065027e-07
235,8.483120639478272e-07,9.437345723199982e-07,9.907064256988822e-07,1.022525465625409e-06,9.035621361989516e-07,9.490595701957131e-07
236,9.175610540662645e-07,1.0000715575511284e-06,1.0249310817002164e-06,1.011962073673769e-06,8.179160793106405e-07,9.079418650774595e-07
237,8.374975810539755e-07,9.840699942390795e-07,9.997476454743938e-07,9.599682350015916e-07,8.575189321434276e-07,8.818940341667035e-07
238,8.944963114643945e-07,1.0476337955125689e-06,1.109045148439571e-06,1.0485334713285812e-06,9.88585001320396e-07,9.557922104863785e-07
239,8.561194724424966e-07,1.0172499124122342e-06,9.489988099741075e-07,9.14795817051851e-07,8.78919919909619e-07,9.29022901354137e-07
240,8.550570152773146e-07,9.174408731432808e-07,9.947124207567078e-07,1.0085041240857592e-06,9.631735776524999e-07,9.259052133871743e-07
241,9.023976484526711e-07,1.040049635420793e-06,1.0298163180643489e-06,1.0108147236741091e-06,8.973054393326549e-07,8.718500031952723e-07
242,8.805389095827795e-07,1.0069556974992154e-06,9.575132406149604e-07,9.653893064944176e-07,8.817436291606515e-07,8.940356385815862e-07
243,9.175987265891128e-07,9.815609587248968e-07,9.380044844503112e-07,1.0050489185280432e-06,9.81986108987829e-07,8.605557191275444e-07
244,8.632391769563951e-07,1.0364388296323273e-06,9.79256693319548e-07,9.25267937362881e-07,9.547885784075669e-07,1.0353962267669334e-06
245,8.793069478155715e-07,1.0572398261645394e-06,9.532770047980779e-07,9.781169137412212e-07,8.801348212671694e-07,9.42437001973454e-07
246,8.742643587979147e-07,1.0263672907170248e-06,1.0169382591706618e-06,9.493216090887379e-07,8.978853546051516e-07,8.666014337898936e-07
247,8.473904419991492e-07,1.0858112737173056e-06,9.816401596937314e-07,9.009670828790943e-07,9.177688105621195e-07,9.316685885787887e-07
248,8.821788357449801e-07,1.0629946696052356e-06,9.581806283695071e-07,9.164145421213104e-07,8.540542689936861e-07,9.134286398690332e-07
249,8.638450082176483e-07,1.0259532046442197e-06,9.696941784935177e-07,9.81601707340892e-07,9.963235881033252e-07,9.053700245923165e-07
250,8.727891363163363e-07,1.1093435712364864e-06,1.0134403118368869e-06,9.234031737165926e-07,8.581026712568634e-07,9.39287614436906e-07
251,8.470559898441932e-07,1.0902374667117551e-06,1.095849613353829e-06,8.831523908771073e-07,9.40160133295609e-07,9.161419859451385e-07
252,8.653296950366003e-07,1.1122786324040238e-06,9.273237546838311e-07,9.04401928825664e-07,8.742701710033564e-07,9.22290315987116e-07
253,8.08939700865268e-07,1.1820205200235545e-06,1.0160181733904577e-06,8.914603246183892e-07,9.351719674517735e-07,9.454081919661357e-07
254,8.988356066186616e-07,1.1096373082402994e-06,1.0304095403283009e-06,9.063775186353231e-07,8.800415379675659e-07,9.506473658131106e-07
255,8.889348202663011e-07,1.179835640533327e-06,1.0267511071093742e-06,8.569073891371996e-07,9.196518810123567e-07,9.499321360071622e-07
256,9.099287848353229e-07,1.2061243573010952e-06,9.821607983137058e-07,9.068825293947709e-07,8.895377512155001e-07,8.960252089048659e-07
257,8.388528519694206e-07,1.2678977876598366e-06,1.0123111514525042e-06,9.070395580071984e-07,9.458512338559563e-07,9.352690646322756e-07
258,8.890838427579894e-07,1.3242450830399797e-06,1.001769634579733e-06,9.345450620717725e-07,9.129780741912924e-07,8.947987401672125e-07
259,8.735553034968728e-07,1.17613417856969e-06,1.011098042745575e-06,8.938306666564846e-07,8.513893271832161e-07,9.471496763311228e-07
260,8.916849258696062e-07,1.332897519509147e-06,1.0032444234101726e-06,9.584068676628313e-07,8.939827716179149e-07,9.116252512480036e-07
261,8.385061073142992e-07,1.3749018016941035e-06,1.0143229757750241e-06,9.061712392471296e-07,9.181882476419302e-07,9.902915178766299e-07
262,8.347342654866805e-07,1.5190191022174488e-06,9.842532957841045e-07,9.502077277123522e-07,9.53960580648727e-07,9.770395523847173e-07
263,8.802987520109645e-07,1.354339895809872e-06,9.379993377436074e-07,9.739274040423618e-07,9.01572756828237e-07,9.14294797166232e-07
264,8.817767239603229e-07,1.4315604643115386e-06,1.0257518120415314e-06,9.784355725923269e-07,9.13055694162187e-07,9.578093711863743e-07
265,8.449433211293563e-07,1.3572708102150542e-06,9.256351003951655e-07,9.45569513898408e-07,8.458146442863789e-07,8.728626308876867e-07
266,8.644015841489942e-07,1.41486267978326e-06,9.326601914845168e-07,9.680614436609374e-07,8.029431921909104e-07,9.648234510042372e-07
267,9.221408925567868e-07,1.4885139188359664e-06,9.659347845750355e-07,1.0123571204614107e-06,8.163533695229874e-07,9.170402210349194e-07
268,9.129807115321343e-07,1.4473137617508106e-06,9.15692976358199e-07,9.91091610802978e-07,8.272010204476519e-07,9.657007199649157e-07
269,8.275925049963375e-07,1.5091681077523424e-06,1.062523163226566e-06,9.585729048316758e-07,8.823493915618402e-07,1.0663051158993555e-06
270,9.250395094924712e-07,1.5518005984993909e-06,1.0190644869833496e-06,1.038326275441902e-06,8.928240742111485e-07,1.0089635163683446e-06
271,9.413555202617372e-07,1.6365942174159078e-06,9.396042637164615e-07,1.0026342502193382e-06,8.818853418768785e-07,8.774698964080295e-07
272,8.838522215377406e-07,1.531314942144884e-06,9.43607496175762e-07,9.391197688573169e-07,8.220060300627066e-07,9.219159381711932e-07
273,8.191633918995065e-07,1.5428549492373929e-06,9.54154468258568e-07,9.533694007744156e-07,8.403533688649432e-07,1.0294550607557936e-06
274,8.83944036052998e-07,1.3893770176495402e-06,9.84589862393391e-07,9.471737442297875e-07,8.792987747753478e-07,9.442263529507883e-07
275,8.59223296554626e-07,1.4755384926121937e-06,9.62048502059022e-07,9.81013385249475e-07,9.279826292735285e-07,9.85918988553454e-07
276,8.509085246765647e-07,1.5702120946309161e-06,8.814145704385413e-07,9.557551103514467e-07,8.530773622387899e-07,9.267003725672658e-07
277,8.645987838682506e-07,1.530725283581661e-06,8.995809564877757e-07,1.007767442597871e-06,9.332643210250392e-07,9.123304033226496e-07
278,8.582798800104749e-07,1.5970804667750563e-06,8.950947729699979e-07,1.0561396884835473e-06,9.287203943966739e-07,9.98914835730653e-07
279,8.509395213926067e-07,1.4754439496337146e-06,9.27629531278343e-07,9.965883659342966e-07,9.106590608464607e-07,9.92687140643307e-07
280,8.936800202113272e-07,1.450422623227213e-06,1.0282687425024795e-06,9.868254914153795e-07,8.855348750504121e-07,9.532851615259355e-07
281,8.826433579495063e-07,1.3649228202402817e-06,1.0231280915229754e-06,9.657635201298478e-07,8.970721924343188e-07,9.374765467932064e-07
282,8.38290632836178e-07,1.2326197141214336e-06,9.83605098950113e-07,1.0821445150020646e-06,8.387399422985243e-07,1.0047471979579613e-06
283,8.838205836503387e-07,1.3809631737329562e-06,9.709495441577864e-07,1.0406883104862604e-06,8.767736343108789e-07,8.813334153852524e-07
284,8.972936816944326e-07,1.1567948654788777e-06,9.168846500331604e-07,1.117810221669073e-06,8.620394960306047e-07,9.309199126608192e-07
285,7.917400649343637e-07,1.2030930044212668e-06,9.163113300431536e-07,1.016341597574078e-06,8.440519183938901e-07,9.623113583986251e-07
286,9.18054825560322e-07,1.2497755072978313e-06,8.543291282685587e-07,9.969994877867751e-07,8.433166751536661e-07,9.238970017982328e-07
287,9.306296850754429e-07,1.1994074212897e-06,9.758324019053414e-07,1.0355411882264454e-06,8.336893092809257e-07,9.995917727075829e-07
288,8.299182052931314e-07,1.2343276905755206e-06,9.58426115605779e-07,9.918798813710542e-07,8.435286732865943e-07,9.70203580271517e-07
289,8.696976145656519e-07,1.3266864142895222e-06,9.605625519346866e-07,1.0651922909862104e-06,8.32066021365023e-07,9.49859820622767e-07
290,8.317943289335211e-07,1.2861392606696915e-06,8.970369804707889e-07,1.0912884590637932e-06,8.345550706060978e-07,9.592700601109794e-07
291,8.865435791219639e-07,1.3189558176660774e-06,9.97729944317542e-07,1.1237572256640873e-06,9.202120733793617e-07,9.401107017527179e-07
292,8.082798034910499e-07,1.2743490847953347e-06,9.707932178568362e-07,1.0634459451509686e-06,8.824794016660303e-07,9.852064675078068e-07
293,7.787658052116361e-07,1.2517513285282748e-06,8.366304011167974e-07,1.0459670338735806e-06,9.265033139821669e-07,9.553985544298625e-07
294,9.267944349950187e-07,1.2722444037981817e-06,1.0079459078293648e-06,1.0907065913192176e-06,8.627322832574108e-07,8.768083663874979e-07
295,8.110970029058913e-07,1.2981292268672879e-06,9.606943376424589e-07,1.0349891662250168e-06,8.996176532987237e-07,9.565952411005092e-07
296,8.745600898823125e-07,1.219214105000729e-06,9.084332879588199e-07,1.093955396814966e-06,9.106236584553613e-07,1.0174239423402009e-06
297,8.733696152577705e-07,1.25902161032004e-06,9.635671456763913e-07,1.0290039502816244e-06,8.968632461991079e-07,9.56108090254435e-07
298,8.832375818721143e-07,1.119438009786461e-06,9.22944499623164e-07,1.0287623498933827e-06,8.865623732911548e-07,9.58661733643477e-07
299,8.679452217246202e-07,1.2156762135373258e-06,9.541865193913676e-07,1.0817531031941804e-06,8.679290054083148e-07,1.046227813000125e-06
300,9.215110322221674e-07,1.2195087714728401e-06,9.495961016758211e-07,1.1838932826061901e-06,8.795282088682082e-07,9.613486612895896e-07
