step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/lr_step
291,1e-05,1e-05,1e-05,1.0263791928053824e-06,2.9310214228202016e-08
292,1e-05,1e-05,1e-05,1.0213711175379614e-06,2.3745686153290307e-08
293,1e-05,1e-05,1e-05,1.0168886292271252e-06,1.8765143585693924e-08
294,1e-05,1e-05,1e-05,1.0129322539127494e-06,1.4369171014165798e-08
295,1e-05,1e-05,1e-05,1.0095024558930204e-06,1.0558284325578038e-08
296,1e-05,1e-05,1e-05,1.006599637669943e-06,7.332930744380907e-09
297,1e-05,1e-05,1e-05,1.0042241399021052e-06,4.6934887801164414e-09
298,1e-05,1e-05,1e-05,1.0023762413647026e-06,2.6402681830023374e-09
299,1e-05,1e-05,1e-05,1.0010561589168213e-06,1.173509907579362e-09
300,1e-05,1e-05,1e-05,1.0002640474759918e-06,2.9338608443452154e-10
