step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
37,1.0392541664053484e-06,1.126895556959639e-06,1.0326979694470915e-06
38,1.167495069682833e-06,1.1007310188231049e-06,1.0819285237531048e-06
39,1.0691500036721421e-06,1.0951060577327336e-06,9.88805068579701e-07
40,1.1418201661602338e-06,1.0288309174194154e-06,9.566673278715012e-07
41,1.0557827994231593e-06,1.0897995666858382e-06,1.0150617814431026e-06
42,1.0828427048825602e-06,1.047986967527205e-06,9.964250751579944e-07
43,1.0815876452070592e-06,1.017594748076285e-06,9.687061093423745e-07
44,1.016732238858744e-06,1.0562528287800756e-06,9.89571778853096e-07
45,9.567057027607864e-07,9.883004571427426e-07,9.900564636879553e-07
46,1.0316404414296785e-06,1.0326995727749312e-06,9.376720464954061e-07
47,1.118692044230881e-06,1.0287151691966053e-06,1.0127888844588663e-06
48,1.0945865343052723e-06,9.544817358386472e-07,9.578287300231234e-07
49,9.627001633312235e-07,9.844939212429984e-07,8.650540733450255e-07
50,1.1060738526160296e-06,9.219400562365595e-07,9.310957245290783e-07
51,1.0494904431303224e-06,1.1024290088089641e-06,9.535993329772886e-07
52,1.0519579725819663e-06,1.016275345165502e-06,1.000314602755381e-06
53,1.0499708672394443e-06,1.037689634760582e-06,1.012059833304986e-06
54,1.0412099496620486e-06,9.755706250427418e-07,9.322700826242817e-07
55,9.675410928586062e-07,1.037684548562306e-06,9.433140461000451e-07
56,1.040109441084345e-06,1.000713105835846e-06,9.334637124456368e-07
57,1.0863735140961003e-06,1.0364247947130585e-06,1.0239862017514295e-06
58,9.917577961543675e-07,9.55445967747165e-07,9.534268232153888e-07
59,1.0162106023738933e-06,9.797000214404026e-07,9.406327717779411e-07
60,9.285052191875251e-07,9.469742462877791e-07,9.015666144054362e-07
61,1.0079639831722336e-06,9.528839681143195e-07,9.57205877753518e-07
62,1.0243230187399971e-06,9.710079677208751e-07,1.0222846648152648e-06
63,9.89438020205006e-07,9.584180392274376e-07,9.953808925260868e-07
64,9.441732083425904e-07,9.59008366327928e-07,8.786496163251859e-07
65,1.0178109670513148e-06,9.427669880439424e-07,1.0055504838389673e-06
66,1.0282757597719793e-06,9.347118341557296e-07,9.080606933829375e-07
67,9.931541948399326e-07,9.86510155998227e-07,9.470177951716445e-07
68,1.011382225033178e-06,1.0146949176117057e-06,9.655353790497401e-07
69,9.710230958743213e-07,9.768934688569089e-07,9.192360735559575e-07
70,9.84813554939146e-07,9.58260896894047e-07,9.785865768145321e-07
71,9.046666509612451e-07,9.469876701508832e-07,9.52818939840469e-07
72,9.765025061006058e-07,9.932820880047319e-07,9.18034561197738e-07
73,1.0481877051112679e-06,1.0474458502475854e-06,1.0420565867315023e-06
74,9.510414456399568e-07,9.8074503696707e-07,9.398788389690245e-07
75,1.0187823916818402e-06,1.0382670714569264e-06,9.902859950536195e-07
76,1.0374683900830102e-06,1.0577430204051416e-06,9.89279266095877e-07
77,9.29931333968793e-07,9.71541326146295e-07,9.181742452334555e-07
78,8.84504087424332e-07,9.343441981809e-07,9.939529679356899e-07
79,1.024929022321136e-06,1.0477716495278312e-06,1.004377286516558e-06
80,1.0197869479021588e-06,9.898876331575362e-07,1.0420696676890845e-06
81,9.746628709911295e-07,1.033357108184613e-06,1.015101911597668e-06
82,1.0390264264559359e-06,1.0248233185893304e-06,1.0153528241383584e-06
83,1.0290859234961666e-06,9.524969221055411e-07,9.642979431130288e-07
84,9.996087716809127e-07,9.825251770237244e-07,9.169070816728648e-07
85,9.36941152094994e-07,9.679009075993915e-07,9.356172684627108e-07
