step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_ctrl_step
114,0.05,0.05,0.01
115,0.05,0.05,0.01
116,0.05,0.025,0.011315544082616496
117,0.05,0.025,0.01235323032167053
118,0.05,0.05,0.01235323032167053
119,0.05,0.05,0.01
120,0.05,0.025,0.01
121,0.05,0.025,0.01
122,0.05,0.05,0.01
123,0.05,0.05,0.01
124,0.05,0.05,0.01
125,0.05,0.025,0.01
126,0.05,0.05,0.01
127,0.05,0.025,0.01
128,0.05,0.05,0.01
129,0.05,0.05,0.01019568434627989
130,0.05,0.05,0.01
131,0.05,0.025,0.01333886062293485
132,0.05,0.05,0.01333886062293485
133,0.05,0.05,0.01333886062293485
134,0.05,0.05,0.018554956720568266
135,0.05,0.05,0.018554956720568266
136,0.05,0.05,0.018554956720568266
137,0.05,0.025,0.019648963404926265
138,0.05,0.05,0.019648963404926265
139,0.05,0.025,0.019648963404926265
140,0.05,0.05,0.012770127938429285
141,0.05,0.05,0.017239212533125423
142,0.05,0.05,0.015492590681126472
143,0.05,0.025,0.01636590160712595
144,0.05,0.05,0.018725389272022323
145,0.05,0.05,0.018757771570184923
146,0.05,0.05,0.01
147,0.05,0.05,0.012222902579612652
148,0.05,0.05,0.01
149,0.05,0.025,0.01
150,0.05,0.025,0.01
151,0.05,0.05,0.013152315577380492
152,0.05,0.025,0.01
153,0.05,0.05,0.010401709842162123
154,0.05,0.025,0.010401709842162123
155,0.05,0.025,0.011930740070301208
156,0.05,0.05,0.011930740070301208
157,0.05,0.05,0.013602020706935612
158,0.05,0.05,0.013602020706935612
159,0.05,0.025,0.01
160,0.05,0.025,0.01
161,0.05,0.05,0.01
162,0.05,0.025,0.01
163,0.05,0.05,0.01
164,0.05,0.05,0.01
165,0.05,0.025,0.01
166,0.05,0.05,0.01
167,0.05,0.025,0.01
168,0.05,0.05,0.01
169,0.05,0.025,0.011116138473451258
170,0.05,0.05,0.01
171,0.05,0.05,0.010003394732205895
172,0.05,0.05,0.010065821633990803
