step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/alpha_t_step
55,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
56,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
57,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
58,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
59,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
60,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
61,2.9699999999999995e-06,1.8549999999999998e-06,2.586635520745725e-06
62,2.9699999999999995e-06,3.7099999999999996e-06,2.586635520745725e-06
63,2.9699999999999995e-06,3.7099999999999996e-06,2.594612549042153e-06
64,2.9699999999999995e-06,1.8549999999999998e-06,2.594612549042153e-06
65,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
66,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
67,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
68,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
69,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
70,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
71,2.9699999999999995e-06,3.7099999999999996e-06,2.56293958506886e-06
72,2.9699999999999995e-06,1.8549999999999998e-06,2.56293958506886e-06
73,2.9699999999999995e-06,3.7099999999999996e-06,3.1980593210072875e-06
74,2.9699999999999995e-06,3.7099999999999996e-06,3.1980593210072875e-06
75,2.9699999999999995e-06,3.7099999999999996e-06,3.334431631224806e-06
76,2.9699999999999995e-06,3.7099999999999996e-06,3.334431631224806e-06
77,2.9699999999999995e-06,1.8549999999999998e-06,3.334431631224806e-06
78,2.9699999999999995e-06,1.8549999999999998e-06,3.890225110244562e-06
79,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
80,2.9699999999999995e-06,1.8549999999999998e-06,2.4999999999999998e-06
81,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
82,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
83,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
