step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/parameter_delta_norm_step
43,1.8240059944218956e-05,8.342150977114215e-06,9.24733467400074e-06,1.3303538253239822e-05,1.7488056982983835e-05,1.3318097444425804e-05,1.2993020391149912e-05,8.231319952756166e-06,2.047497036983259e-05
44,9.76726096268976e-06,8.236716894316487e-06,9.119309652305674e-06,1.3083883459330536e-05,8.489993888360914e-06,1.328930648014648e-05,1.284838162973756e-05,1.620577313588001e-05,1.5434192391694523e-05
45,1.795710704755038e-05,8.184498256014194e-06,9.042300007422456e-06,1.301706288359128e-05,8.288909157272428e-06,1.3161054994270671e-05,1.266207891603699e-05,7.99810095486464e-06,1.1166170224896632e-05
46,1.1262130101385992e-05,8.092735697573517e-06,9.0203675426892e-06,1.2854005035478622e-05,8.27619805932045e-06,1.314934797846945e-05,1.2734347365039866e-05,1.5648078260710463e-05,9.244035027222708e-06
47,1.6418904124293476e-05,1.6252766727120616e-05,1.2646711184061132e-05,1.2886144759249872e-05,1.6543579477001913e-05,1.3124253200658131e-05,1.3037768439971842e-05,1.553829679323826e-05,9.394703738507816e-06
48,2.0771243725903332e-05,1.6333791791112162e-05,1.26487466332037e-05,1.2971095202374272e-05,1.630153383302968e-05,1.3111737644067034e-05,1.2949818483320996e-05,7.74064119468676e-06,9.373469765705522e-06
49,1.7617187040741555e-05,1.612698360986542e-05,9.086544196179602e-06,1.2872119441453831e-05,8.063822861004155e-06,1.2938582585775292e-05,1.273161979042925e-05,7.660870323888958e-06,9.21175342227798e-06
50,1.919440364872571e-05,1.590364263392985e-05,9.029609827848615e-06,1.2741114005621055e-05,7.947179256007075e-06,1.2778507880284453e-05,1.2694636097876357e-05,7.497671958844876e-06,9.174693332170136e-06
51,9.486278031545226e-06,7.73407555243466e-06,8.986651664599776e-06,1.2612056707439478e-05,1.5610852642566897e-05,1.2825367775803898e-05,1.2581214832607657e-05,1.5215173334581776e-05,9.158984539681114e-06
52,1.4430103874474298e-05,1.5323592378990725e-05,8.994100426207297e-06,1.251775938726496e-05,1.5571875337627716e-05,1.2746524589601904e-05,1.2443812920537312e-05,1.5132572116272058e-05,1.0093603123095818e-05
53,1.5909525245660916e-05,1.5087299289007206e-05,8.946136404119898e-06,1.2328085176704915e-05,7.722650479990989e-06,1.254924700333504e-05,1.2423596672306305e-05,7.536519206041703e-06,1.1995662134722808e-05
54,1.57797312567709e-05,7.5095344982401e-06,8.883646842150483e-06,1.2195228009659331e-05,7.687016477575526e-06,1.2392875760269815e-05,1.2294140105950646e-05,1.4716400983161291e-05,9.066196980711538e-06
55,1.8114760678145103e-05,7.559483037766768e-06,9.712200153444428e-06,1.2195322597108316e-05,1.5275567420758307e-05,1.2304426491027698e-05,1.2152991985203698e-05,1.4735035620105918e-05,9.066255188372452e-06
56,9.57030351855792e-06,7.523921340180095e-06,9.737227628647815e-06,1.2096134923922364e-05,1.5090960914676543e-05,1.1991517567366827e-05,1.2016107575618662e-05,1.4787937288929244e-05,9.079428309632933e-06
57,9.579211109667083e-06,1.4908933735569008e-05,8.85675399331376e-06,1.211383187182946e-05,7.437723979819566e-06,1.1769464435928969e-05,1.204952786793001e-05,7.464667760359589e-06,9.217871593136806e-06
58,9.61185014602961e-06,7.451940291502979e-06,8.885157512850128e-06,1.2254163266334215e-05,7.335761438298505e-06,1.1744161383830942e-05,1.1883633305842524e-05,1.47105056385044e-05,9.197669896821026e-06
59,9.59848148340825e-06,7.489750714739785e-06,8.837141649564728e-06,1.227429402206326e-05,1.4683771951240487e-05,1.1576102224353235e-05,1.1789618838520257e-05,1.4563458535121754e-05,9.1411757239257e-06
60,9.486093404120766e-06,1.5022960724309088e-05,8.797896953183226e-06,1.2300086382310838e-05,1.4505126273434144e-05,1.156868711404968e-05,1.1614144568738992e-05,7.192747943918221e-06,9.051627785083838e-06
61,9.547367881168611e-06,1.494054504291853e-05,8.792423614067957e-06,1.2153038369433489e-05,7.1701470005791634e-06,1.1362704753992148e-05,1.1595183423196431e-05,7.14784573574434e-06,9.379380571772344e-06
62,1.00963634395157e-05,1.4970409210945944e-05,8.83563461684389e-06,1.2120898645662235e-05,7.224666660476942e-06,1.1337509931763634e-05,1.1633175745373592e-05,1.4247710169001948e-05,9.51265246840194e-06
63,1.0043817383120768e-05,7.473585355910472e-06,8.79529306985205e-06,1.2095294550817924e-05,7.213585831777891e-06,1.137110393756302e-05,1.1624559192568997e-05,1.4214676411938854e-05,9.536175639368594e-06
64,9.969168786483353e-06,7.410639227600768e-06,8.817200068733655e-06,1.1963457836827727e-05,1.4261219803302083e-05,1.1151510079798754e-05,1.1554297998372933e-05,7.037252544250805e-06,9.478606443735773e-06
65,9.930379746947438e-06,1.4757471035409251e-05,8.820908988127485e-06,1.1951278793276288e-05,7.131872735044453e-06,1.1018976692867e-05,1.1396889931347688e-05,7.009144155745162e-06,9.192267498292496e-06
66,9.900518307404129e-06,1.4540959455189297e-05,8.832980711304117e-06,1.1815787729574367e-05,7.1059575930121355e-06,1.0940480933641084e-05,1.1440673915785736e-05,1.3821705579175614e-05,9.117858098761644e-06
67,1.1364029887772633e-05,7.20803973308648e-06,8.889440323400777e-06,1.178684033220634e-05,7.1862964432511944e-06,1.1060310498578474e-05,1.148155570263043e-05,6.977800239837961e-06,9.096153007703832e-06
68,9.342652447230648e-06,1.4407083654077724e-05,8.718389835848939e-06,1.1510640433698429e-05,1.4369784366863314e-05,1.0993790965585504e-05,1.151372543972684e-05,6.989119810896227e-06,9.15577129489975e-06
