step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/parameter_delta_norm_step
233,8.730264198675286e-06,7.285400442924583e-06,1.0337519597669598e-05,1.078988589142682e-05,7.135399300750578e-06,1.0288767953170463e-05,1.109926506615011e-05,6.713929451507283e-06,1.5674626411055215e-05
234,8.819005415716674e-06,1.452879860153189e-05,1.0194634342042264e-05,1.0749415196187329e-05,7.0923592829785775e-06,1.0382385880802758e-05,1.11352201201953e-05,1.346521639788989e-05,1.605336910870392e-05
235,8.822884410619736e-06,7.29374505681335e-06,1.0119321814272553e-05,1.0827633559529204e-05,1.4244552403397392e-05,1.038484424498165e-05,1.111837900680257e-05,1.3636300536745694e-05,1.4005775483383331e-05
236,8.876033462001942e-06,1.4533475223288406e-05,9.989725185732825e-06,1.0760222721728496e-05,1.4387294868356548e-05,1.0335733350075316e-05,1.109441200242145e-05,1.359809630230302e-05,1.3906113053963054e-05
237,8.724655344849452e-06,1.4628681128669996e-05,9.936843525792938e-06,1.0653231584001333e-05,7.190015367086744e-06,1.0189936801907606e-05,1.09352567960741e-05,1.3712176041735802e-05,1.3722403309657238e-05
238,8.81280629982939e-06,1.477489513490582e-05,9.97485767584294e-06,1.0972164091072044e-05,1.4431493582378607e-05,1.030085695674643e-05,1.0999840924341696e-05,1.378607157676015e-05,1.3567012501880528e-05
239,8.809640348772518e-06,7.3787218752841e-06,9.698672329250256e-06,1.0930541975540107e-05,1.427476126991678e-05,1.0210814252786804e-05,1.0871147424040828e-05,6.792864496674156e-06,1.329923816228984e-05
240,8.841714588925242e-06,1.4812781955697574e-05,9.720105481392238e-06,1.092475122277392e-05,1.432559838576708e-05,1.0199458301940467e-05,1.0907885553024244e-05,1.3784275324724147e-05,1.3090989341435488e-05
241,8.837147106532939e-06,1.5020680621091742e-05,9.574113391863648e-06,1.112878271669615e-05,1.4269370694819372e-05,1.0166424544877373e-05,1.075071304512676e-05,1.3628253327624408e-05,1.256946870853426e-05
242,8.827872079564258e-06,1.4811709661444183e-05,9.467985364608468e-06,1.1082171113230288e-05,1.422704826836707e-05,1.0134557669516653e-05,1.0723444574978204e-05,1.361651266051922e-05,1.2320646419539116e-05
243,8.865944437275175e-06,1.5045320651552174e-05,9.389300430484582e-06,1.1067194463976192e-05,1.4201184058038052e-05,1.0276518878526986e-05,1.0691733223211486e-05,1.359201178274816e-05,1.226085896632867e-05
244,8.875938874552958e-06,1.5384042853838764e-05,9.438003871764522e-06,1.1118279871880077e-05,7.055904461594764e-06,1.023506683850428e-05,1.0707748515415004e-05,1.3368118743528612e-05,1.1952881322940812e-05
245,8.784388228377793e-06,7.620983524248004e-06,9.297006727138069e-06,1.1054343303840142e-05,7.05724141880637e-06,1.0279021807946265e-05,1.0703655789257027e-05,6.778796887374483e-06,1.1575480129977224e-05
246,8.816937224764843e-06,1.5388279280159622e-05,9.18610476219328e-06,1.1134909982501997e-05,7.049853138596518e-06,1.015964608086506e-05,1.0461821148055606e-05,1.3393078006629366e-05,1.1317074495309498e-05
247,8.875092134985607e-06,1.5414316294481978e-05,9.850668902799953e-06,1.10354949356406e-05,1.420716944267042e-05,1.0209476386080496e-05,1.039324160956312e-05,6.6601933212950826e-06,1.1096184607595204e-05
248,8.931280717661139e-06,1.5605848602717742e-05,9.833668627834412e-06,1.1069587344536558e-05,1.4232360626920126e-05,1.0358038707636297e-05,1.0471598216099665e-05,1.3387666513153818e-05,1.1210786396986803e-05
249,8.76907415658934e-06,7.851836016925517e-06,9.04905391507782e-06,1.1096534763055388e-05,1.426064409315586e-05,1.0268077858199833e-05,1.0430006113892888e-05,6.752442459401209e-06,1.1223999536014162e-05
250,8.805021934676915e-06,7.985803677001968e-06,9.256285011360887e-06,1.099828295991756e-05,7.086827736202395e-06,1.0230597581539769e-05,1.0293632840330249e-05,1.3749414392805193e-05,1.067647463059984e-05
251,8.736405106901657e-06,1.6135805708472617e-05,8.924399480747525e-06,1.0944432688120289e-05,6.927345566509757e-06,1.0143260624317918e-05,1.0169902452616952e-05,1.3622979167848824e-05,1.0512611879676116e-05
252,8.755709131946787e-06,7.997189641173463e-06,8.80319839779986e-06,1.083633196685696e-05,1.404332124366192e-05,1.0078343620989472e-05,1.0118041245732456e-05,1.369939673168119e-05,1.0358980944147334e-05
253,8.658615115564317e-06,1.607116973900702e-05,8.771087777859066e-06,1.0765702427306678e-05,6.895108072058065e-06,1.0067377843370195e-05,1.0043764632428063e-05,1.3847541595168876e-05,1.1592799637583084e-05
254,8.801313924777787e-06,1.594805326021742e-05,8.702103514224291e-06,1.0684588232834358e-05,1.3939617929281669e-05,1.0204231330135372e-05,1.002265798888402e-05,6.892727014928823e-06,1.1413339962018654e-05
255,1.0846444638445972e-05,7.909755368018523e-06,8.749217158765532e-06,1.080433685274329e-05,6.8933954935346264e-06,1.0292732440575492e-05,9.83482641458977e-06,6.827656761743128e-06,1.1300815458525904e-05
256,1.083700408344157e-05,1.5855584933888167e-05,8.785841600911226e-06,1.0663598914106842e-05,1.372773931507254e-05,1.0404357453808188e-05,9.72352790995501e-06,6.751994533260586e-06,1.2898296517960262e-05
257,1.1222658940823749e-05,1.616327244846616e-05,8.845500815368723e-06,1.0867723176488653e-05,1.3634728020406328e-05,1.034104025166016e-05,9.761892215465195e-06,6.765535545127932e-06,1.2805868209397886e-05
258,1.1257547157583758e-05,7.961711162352003e-06,8.828112186165527e-06,1.0995567208738066e-05,1.3767340533377135e-05,1.0412651135993656e-05,9.8517193691805e-06,1.351377613900695e-05,1.2545906429295428e-05
259,1.116358362196479e-05,1.588388840900734e-05,8.775426067586523e-06,1.0908207514148671e-05,6.811616003687959e-06,1.035438799590338e-05,9.873535418591928e-06,6.829695848864503e-06,9.497975952399427e-06
260,1.1312092283333186e-05,7.940960131236352e-06,8.799838724371511e-06,1.082170638255775e-05,1.3798687177768444e-05,1.052458264894085e-05,9.75451257545501e-06,6.767212653358001e-06,9.411493920197245e-06
261,1.1571296454349069e-05,7.935623216326348e-06,9.448717719351409e-06,1.0833848136826418e-05,1.3857030353392474e-05,1.0618555279506836e-05,9.819018487178257e-06,1.3437348570732864e-05,9.22420349525055e-06
262,1.3102388038532808e-05,8.010842975636479e-06,8.667057954880875e-06,1.0853546882572118e-05,6.861505426059011e-06,1.0644633221090771e-05,9.811625204747544e-06,6.741580364177935e-06,9.148325261776336e-06
263,8.683667147124652e-06,8.004792107385583e-06,8.648672519484535e-06,1.0818440387083683e-05,1.3793644029647112e-05,1.085313215298811e-05,9.85315000434639e-06,6.65549805489718e-06,9.287793545809109e-06
264,9.401773240824696e-06,1.579477066115942e-05,8.691376933711581e-06,1.0941948858089743e-05,1.3997435416968074e-05,1.0952104275929742e-05,9.934203262673693e-06,6.735604529239936e-06,9.213581506628545e-06
265,9.413673978997394e-06,7.879503755248152e-06,8.745791092223953e-06,1.0872298844333272e-05,1.4044378076505382e-05,1.100092504202621e-05,9.918070645653644e-06,6.699417099298444e-06,9.05369597603567e-06
266,9.474623766436707e-06,1.5781179172336124e-05,8.772368346399162e-06,1.0899816516030114e-05,7.061896212690044e-06,1.101832003769232e-05,9.885456165648066e-06,1.3446995581034573e-05,8.981635801319499e-06
267,1.1317550161038524e-05,7.918854862509761e-06,8.895067367120646e-06,1.0726154869189486e-05,7.068274953780929e-06,1.098627944884356e-05,9.760079592524562e-06,1.3412252883426843e-05,8.873586011759471e-06
268,1.1337613614159636e-05,7.981552698765881e-06,8.74257329996908e-06,1.0630281394696794e-05,1.4177883713273332e-05,1.114389488066081e-05,9.72446741798194e-06,1.3272027899802197e-05,8.721947779122274e-06
269,1.2466464795579668e-05,1.622205127205234e-05,1.0406442015664652e-05,1.0659465260687284e-05,1.3995783774589654e-05,1.1006046406691894e-05,9.838664482231252e-06,6.716859843436396e-06,8.815511137072463e-06
270,8.852349310473073e-06,1.6480124031659216e-05,1.0366259630245622e-05,1.069803511200007e-05,1.3812009456160013e-05,1.108892865886446e-05,1.0048887816083152e-05,1.3516217222786509e-05,8.908999006962404e-06
271,1.047858313540928e-05,1.6157151549123228e-05,1.0266629942634609e-05,1.0619136446621267e-05,6.895376372995088e-06,1.1019224984920584e-05,9.96697781374678e-06,1.3554705219576135e-05,8.817971320240758e-06
272,1.048085505317431e-05,1.6137637430801988e-05,1.110175344365416e-05,1.0596424544928595e-05,6.873699931020383e-06,1.0869961442949716e-05,9.980875802284572e-06,6.752919034624938e-06,8.786625585344154e-06
273,1.042785333993379e-05,8.111160241242032e-06,8.829420039546676e-06,1.0665102308848873e-05,1.3587568901129998e-05,1.0963843124045525e-05,1.009539482765831e-05,1.3477101674652658e-05,8.785553291090764e-06
274,1.0544129509071354e-05,8.033013727981597e-06,9.245152796211188e-06,1.067735138349235e-05,6.827416200394509e-06,1.100608005799586e-05,1.015960515360348e-05,1.3403043340076692e-05,8.847599019645713e-06
275,1.0410582945041824e-05,8.145842912199441e-06,9.376769412483554e-06,1.0899587323365267e-05,6.8052381720917765e-06,1.0980977094732223e-05,1.0202228622802068e-05,1.3376303286349868e-05,9.01254861673806e-06
276,1.1657048162305728e-05,1.6437397789559327e-05,1.039125618262915e-05,1.0891296369663904e-05,6.833955012552906e-06,1.097818403650308e-05,1.0059882697532885e-05,1.3504920389095789e-05,8.923178938857745e-06
277,1.162405897048302e-05,1.6690679331077263e-05,1.1341219760652166e-05,1.0942385415546596e-05,1.3679802577826194e-05,1.1014071787940338e-05,1.0119862963620108e-05,1.3384587873588316e-05,8.83098164194962e-06
278,1.1727003766281996e-05,1.673075712460559e-05,1.2649453310586978e-05,1.0838019079528747e-05,1.3639608368976042e-05,1.1186126357642934e-05,1.0173484042752534e-05,1.3717522961087523e-05,8.786645594227593e-06
279,1.1672709661070256e-05,1.6693044017301872e-05,1.391042042087065e-05,1.0817851944011636e-05,6.815217147959629e-06,1.1307612112432253e-05,1.0243615179206245e-05,1.3649146239913534e-05,8.78920400282368e-06
280,1.3110291547491215e-05,8.403396350331604e-06,1.3980275980429724e-05,1.0905174349318258e-05,1.3620533536595758e-05,1.1574506970646324e-05,1.019845967675792e-05,1.3645977560372556e-05,1.0001730515796226e-05
281,1.301691463595489e-05,8.488813364238013e-06,1.3933926311437972e-05,1.0990584996761754e-05,6.73185149935307e-06,1.1510567674122283e-05,1.0328598364139909e-05,6.886515166115714e-06,1.0828222002601253e-05
282,8.554748092137743e-06,1.6683821741025895e-05,9.859845704340842e-06,1.0945797839667648e-05,1.3550086805480532e-05,1.1479997738206292e-05,1.0439461220812518e-05,7.037584509816952e-06,1.0229564395558556e-05
283,8.528912985639181e-06,8.270018042821903e-06,1.2118523954995908e-05,1.094133040169254e-05,6.7065507209918e-06,1.1422201168898027e-05,1.0356066013628151e-05,6.98094936524285e-06,1.0868400750041474e-05
284,8.554704436392058e-06,1.6604091797489673e-05,8.934512152336538e-06,1.0880169611482415e-05,6.683590072498191e-06,1.1425273442000616e-05,1.035560944728786e-05,1.394270202581538e-05,1.0595268577162642e-05
285,8.621874258096796e-06,8.144668754539452e-06,8.98464259080356e-06,1.0966832633130252e-05,6.7009036683884915e-06,1.142877863458125e-05,1.040230654325569e-05,6.987698725424707e-06,1.0466509593243243e-05
286,8.610812983533833e-06,8.02946033218177e-06,8.908803465601522e-06,1.1000656741089188e-05,1.336111017735675e-05,1.1371025721018668e-05,1.042803341988474e-05,1.4002549505676145e-05,1.0352626304666046e-05
287,8.534517291991506e-06,8.052132216107566e-06,8.864344636094756e-06,1.1085313417424912e-05,1.3508496522263158e-05,1.1466895557532553e-05,1.0575026863079984e-05,7.098237801983487e-06,1.0402556654298678e-05
288,8.492824235872831e-06,1.5912193703115918e-05,8.844398507790174e-06,1.1047464795410631e-05,1.3505041351891124e-05,1.1519528925418854e-05,1.0420418220746797e-05,1.4256070244300645e-05,1.0915671737166122e-05
289,9.8599266493693e-06,7.933975211926736e-06,8.902896297513507e-06,1.1108862054243218e-05,6.67721315039671e-06,1.144241468864493e-05,1.0296938853571191e-05,1.4301432202046271e-05,8.218315088015515e-06
290,1.0025564733950889e-05,1.6010633771657012e-05,8.899098247638904e-06,1.1037765943910928e-05,1.3594383744930385e-05,1.1508650459290948e-05,1.019681258185301e-05,7.068628747219918e-06,8.074965080595575e-06
291,8.694939424458425e-06,7.897814612078946e-06,8.921656444726977e-06,1.1119111150037496e-05,6.832693088654196e-06,1.1620764780673198e-05,1.0307709999324288e-05,7.059939889586531e-06,8.026112482184544e-06
292,8.799342140264343e-06,7.878657925175503e-06,8.877828804543242e-06,1.1217525752726942e-05,1.3588592082669493e-05,1.1730111509677954e-05,1.0471434507053344e-05,7.08115703673684e-06,8.023593181860633e-06
293,8.728246029932052e-06,1.5444882592419162e-05,8.86102770891739e-06,1.1433147847128566e-05,6.802929874538677e-06,1.1650397027551662e-05,1.0336595551052596e-05,6.9522011472145095e-06,7.903970072220545e-06
294,8.798255294095725e-06,1.5335859643528238e-05,8.854939551383723e-06,1.1272099982306829e-05,1.3590315575129353e-05,1.1726742741302589e-05,1.0553138963587116e-05,7.046961854939582e-06,7.956313311296979e-06
295,8.714304385648575e-06,7.626206752320286e-06,8.887757758202497e-06,1.1255623576289508e-05,6.736977866239613e-06,1.1695557986968195e-05,1.0511049367778467e-05,1.428712948836619e-05,8.076943231571931e-06
296,8.770843123784289e-06,1.5337032891693525e-05,8.85085955815157e-06,1.1446652933955193e-05,1.3597862562164664e-05,1.1877457836817484e-05,1.0521428521315102e-05,1.4461849787039682e-05,8.044175046961755e-06
297,8.7875214376254e-06,1.5310473827412352e-05,8.938957762438804e-06,1.1459047527750954e-05,6.809019851061748e-06,1.1922240446438082e-05,1.0742450285761151e-05,1.4820800970483106e-05,8.072025593719445e-06
298,8.752565008762758e-06,1.5033972886158152e-05,9.731239515531342e-06,1.14145432235091e-05,1.347041234112112e-05,1.1927803825528828e-05,1.0746553016360847e-05,7.375652785412967e-06,8.130451533361338e-06
299,8.750778761168476e-06,7.555681349913357e-06,9.685779332357924e-06,1.142025848821504e-05,6.676261364191305e-06,1.2030236575810704e-05,1.0627522897266315e-05,7.268110493896529e-06,8.822022209642455e-06
300,8.800431714917067e-06,1.5322812032536604e-05,9.041969860845713e-06,1.1532754797372036e-05,6.673769803455798e-06,1.208203593705548e-05,1.0591299542284103e-05,7.296968306036433e-06,8.847448043525219e-06
