step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/lr_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/lr_step
38,4.369987031069468e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,5.3708905980776895e-06
39,4.7712675579076436e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,3.500908982632543e-06
40,4.7712675579076436e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,4.585373267188382e-06
41,4.7712675579076436e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.7315910742064035e-06
42,4.7712675579076436e-06,3.7099999999999996e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,5.481134544754125e-06
43,4.7712675579076436e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,5.481134544754125e-06
44,2.605076035841077e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,4.126465129181415e-06
45,4.858789144180974e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9929847151187804e-06
46,3.0525054960600424e-06,1.8549999999999998e-06,2.4999999999999998e-06,2.9699999999999995e-06,1.8549999999999998e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.4999999999999998e-06
47,4.413820377002879e-06,3.7099999999999996e-06,3.481370382752314e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.9699999999999995e-06,2.9699999999999995e-06,3.7099999999999996e-06,2.52350835016901e-06
