step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_ema_step
51,1.0429139651680348e-06,9.822585607751524e-07,9.889008139369119e-07,9.980960561838097e-07,1.0026839845424948e-06,9.86884423418623e-07,9.90531737288859e-07,9.755010426047934e-07,9.618379331148046e-07
52,1.0433075843658312e-06,9.849157900880596e-07,9.903363802223308e-07,9.99388463857939e-07,1.0072969120418541e-06,9.920177959625086e-07,9.936030490535143e-07,9.775397577328288e-07,9.637617665968334e-07
53,1.0458303027789629e-06,9.870809109244717e-07,9.892912591723409e-07,9.979693238811205e-07,1.006389389569127e-06,9.943958658658994e-07,9.964214399628108e-07,9.805472515842164e-07,9.66176669932241e-07
54,1.0434743357930668e-06,9.861533522063272e-07,9.862807914265616e-07,9.958634981235529e-07,1.007889122133276e-06,9.981251726398308e-07,9.986608654477726e-07,9.802984202571426e-07,9.644813405668428e-07
55,1.0445902867381969e-06,9.904428731629597e-07,9.853766544622402e-07,9.962401892404054e-07,1.0098687943644102e-06,9.992599692582905e-07,9.97104876818314e-07,9.831677266724008e-07,9.634229758435031e-07
56,1.0439209453215489e-06,9.90215072936221e-07,9.843414265565809e-07,9.957870760659824e-07,1.0085911461221579e-06,9.949849606685674e-07,9.992551050316155e-07,9.840449956305731e-07,9.619250126736097e-07
57,1.043761011454178e-06,9.885834218594965e-07,9.84417046391953e-07,9.978739976898277e-07,1.0073777036022675e-06,9.911892317780236e-07,1.0036110254848398e-06,9.866639855846974e-07,9.650280721275003e-07
58,1.0428746084049256e-06,9.886862396158536e-07,9.830279459754791e-07,1.001507108600705e-06,1.0087205620254659e-06,9.92904178369344e-07,1.003018364018316e-06,9.851030846928207e-07,9.64448009681895e-07
59,1.0410318359541149e-06,9.908380400823022e-07,9.803970470114112e-07,1.0047967197742173e-06,1.013726071022486e-06,9.91075784829187e-07,1.003677975936095e-06,9.848329315301999e-07,9.632572477866973e-07
60,1.0376903190805411e-06,9.92013353597607e-07,9.794349937903896e-07,1.0064496995875518e-06,1.0140151791758886e-06,9.910268472699799e-07,9.999193380986664e-07,9.829399972680788e-07,9.601727161176343e-07
61,1.039131816561581e-06,9.932920775202373e-07,9.795055475159259e-07,1.0061315761737351e-06,1.0116374715409759e-06,9.890760631125337e-07,1.0003215703523446e-06,9.81437195810391e-07,9.600243741994282e-07
62,1.0389007817880484e-06,9.95609497301286e-07,9.809768741261236e-07,1.0046752117918766e-06,1.0177934927329223e-06,9.910012391895747e-07,1.001521642771727e-06,9.809157344059148e-07,9.631373887302202e-07
63,1.0363669910869345e-06,9.964940889775114e-07,9.803170735610765e-07,1.0066585683017016e-06,1.0193405804270458e-06,9.940285699127279e-07,1.000917461643391e-06,9.79790849646991e-07,9.647495639200137e-07
64,1.0332021332621352e-06,9.967996115349827e-07,9.825183703072308e-07,1.003454079696446e-06,1.0171350816974553e-06,9.888229387030604e-07,9.980802489783505e-07,9.787517254810378e-07,9.604445665402722e-07
65,1.0306126874970875e-06,9.98184373179596e-07,9.816824250683733e-07,1.005251598492885e-06,1.016318025522436e-06,9.865346483305227e-07,9.99066784881999e-07,9.769524886091829e-07,9.626998624052066e-07
66,1.0281200052557095e-06,9.952175043972036e-07,9.813825494031472e-07,1.0026242844715218e-06,1.01364543576663e-06,9.852677025739426e-07,1.000527233626498e-06,9.748404558865105e-07,9.59967903954093e-07
67,1.025320162181182e-06,9.937513338665734e-07,9.83396329680192e-07,1.0014009773317526e-06,1.015626875436407e-06,9.866663352191918e-07,1.0001585816871696e-06,9.75423940892096e-07,9.593203985149708e-07
68,1.02395886346321e-06,9.956939884641665e-07,9.778970332335038e-07,9.96882883750427e-07,1.015695168125996e-06,9.85656223134022e-07,1.00071976385447e-06,9.773874897280765e-07,9.596311475417092e-07
69,1.0192402192477125e-06,9.95663545337507e-07,9.778902935811629e-07,9.959615723621293e-07,1.0139386262629477e-06,9.837513702133939e-07,9.992349304554625e-07,9.773627886845179e-07,9.576113938424216e-07
70,1.019295131146545e-06,9.919898048023696e-07,9.769493773101955e-07,9.941331728174929e-07,1.0162266887717973e-06,9.845964617053051e-07,9.985138616796466e-07,9.764076940949946e-07,9.58660152991027e-07
71,1.0223900166057708e-06,9.959246958058017e-07,9.785161408811346e-07,9.94029261955253e-07,1.0157590843107574e-06,9.862383728603509e-07,9.938215011437263e-07,9.74936692897789e-07,9.58368092333499e-07
72,1.0259730670419394e-06,9.947297425068352e-07,9.777013662197282e-07,9.952734644668682e-07,1.0174847543894083e-06,9.86297426145214e-07,9.929555513915705e-07,9.758539626531358e-07,9.56351415776711e-07
73,1.021466876360872e-06,9.954704770940662e-07,9.763583886371286e-07,9.960049199416017e-07,1.0165948915914195e-06,9.876516196123271e-07,9.957171590775551e-07,9.794335570328585e-07,9.606366743244505e-07
74,1.0216922444541851e-06,9.925790899057358e-07,9.771082548912157e-07,9.907521613392334e-07,1.0205757582731645e-06,9.891364898062867e-07,9.934833734056757e-07,9.794991310295689e-07,9.595987825566789e-07
75,1.0173519817366709e-06,9.912651687514178e-07,9.765741079523214e-07,9.904343475272355e-07,1.0213937847664096e-06,9.871350446208075e-07,9.947483243194836e-07,9.82437528050937e-07,9.61133143181526e-07
76,1.014907795272554e-06,9.907364671056086e-07,9.773545233570109e-07,9.872455746836689e-07,1.0195540028735224e-06,9.86869709378589e-07,9.968843276076599e-07,9.86202802668647e-07,9.625404493272433e-07
77,1.0109822081233576e-06,9.89563523150091e-07,9.776006418220045e-07,9.869674050897398e-07,1.0155100352835237e-06,9.842677329974318e-07,9.935366779257164e-07,9.854697288425295e-07,9.60322139122554e-07
78,1.0124307776345126e-06,9.85288404838598e-07,9.779370756711875e-07,9.887492841620584e-07,1.012912990425782e-06,9.852158718743995e-07,9.880850484006469e-07,9.829134523094479e-07,9.62003680563211e-07
79,1.0157804670899603e-06,9.859448316221451e-07,9.808538485474523e-07,9.886942115635374e-07,1.0130376090146418e-06,9.875585876959704e-07,9.899272470966713e-07,9.861563621703672e-07,9.64122360860878e-07
80,1.0153694621526284e-06,9.848583836527295e-07,9.83362419575185e-07,9.866886574108765e-07,1.009984003790181e-06,9.843409142755744e-07,9.914202321369458e-07,9.863429257197255e-07,9.680197262022885e-07
81,1.011826883156115e-06,9.847763460548969e-07,9.860197820215101e-07,9.843926664316625e-07,1.0114363900319448e-06,9.828033784324257e-07,9.905823640796548e-07,9.886936348429699e-07,9.703738354720573e-07
82,1.00893567351915e-06,9.829652112477326e-07,9.862520047894956e-07,9.835986458581459e-07,1.0082610870636578e-06,9.839250110348088e-07,9.930045671984691e-07,9.905001190302878e-07,9.726227849053726e-07
83,1.0076589211905336e-06,9.833747480784622e-07,9.87122891470287e-07,9.853352132456758e-07,1.0076270407573721e-06,9.822270186740104e-07,9.94808635013354e-07,9.885999591840504e-07,9.722065428157554e-07
84,1.0050111687034918e-06,9.818649438285855e-07,9.838822203678265e-07,9.84608443847701e-07,1.0067012708028604e-06,9.821227249795544e-07,9.950486418467318e-07,9.88296220076034e-07,9.694415697586109e-07
85,1.0035159715390554e-06,9.81332259561554e-07,9.826795781427896e-07,9.875274673558829e-07,1.004276414108363e-06,9.800773528224708e-07,9.921432673591449e-07,9.87276454452202e-07,9.677503546938159e-07
86,1.0040129544314437e-06,9.801158104264488e-07,9.794407078565028e-07,9.86714347490951e-07,1.0035638542426599e-06,9.797285285833502e-07,9.913331147091853e-07,9.901078038844154e-07,9.6670781470514e-07
87,1.005412976756245e-06,9.79836254065114e-07,9.799527234265815e-07,9.84531619665635e-07,1.003776530083088e-06,9.7930448438838e-07,9.8964349725595e-07,9.900389829150573e-07,9.6474184483635e-07
88,1.0027126619962533e-06,9.791081667550132e-07,9.821634030750946e-07,9.875939844167803e-07,1.0033792753049836e-06,9.795124234391878e-07,9.921720621738458e-07,9.900651520806838e-07,9.64454479440576e-07
89,9.978295536421386e-07,9.801108259703912e-07,9.835457970770698e-07,9.85907736081362e-07,1.000664432827877e-06,9.750630731915378e-07,9.869718063838764e-07,9.86134716727477e-07,9.638265391958516e-07
90,9.98630345599296e-07,9.771769559888217e-07,9.785950592787683e-07,9.857919661096588e-07,1.0017010268368438e-06,9.789598244459849e-07,9.84978148055223e-07,9.819631598652011e-07,9.611103660537278e-07
91,9.977639246573736e-07,9.764160322541114e-07,9.77717582152247e-07,9.85502439032931e-07,1.0022886496747618e-06,9.793980700592509e-07,9.8460010817129e-07,9.840839785713146e-07,9.603033381025335e-07
92,9.958498411618309e-07,9.727941227042868e-07,9.784374113774801e-07,9.840205335413534e-07,1.0001808265942668e-06,9.79533105324546e-07,9.86832863296733e-07,9.80203669960651e-07,9.555921832544209e-07
93,9.929940271470554e-07,9.723790447689613e-07,9.787800848690857e-07,9.834813165320294e-07,9.988586718476824e-07,9.801437147513152e-07,9.85750877175693e-07,9.812022140714805e-07,9.55640126599635e-07
94,9.925911219776724e-07,9.771964507714884e-07,9.802113483560889e-07,9.844963821149952e-07,9.98771453928507e-07,9.799667289962983e-07,9.839912623547775e-07,9.788379727739577e-07,9.54923070855949e-07
95,9.890539738276145e-07,9.796627914987628e-07,9.78867743975487e-07,9.852276276730285e-07,9.964850411294412e-07,9.773043270030477e-07,9.854653427349504e-07,9.82127320663306e-07,9.569801575349803e-07
96,9.864709959220353e-07,9.7767077558919e-07,9.78737830605726e-07,9.834357073815998e-07,9.954977610118172e-07,9.735402776903822e-07,9.853195467744633e-07,9.826837682473276e-07,9.543748439772327e-07
97,9.857944185616115e-07,9.764244097804257e-07,9.767833984770782e-07,9.839533833555709e-07,9.941811044650048e-07,9.71158776373463e-07,,,9.533204866878591e-07
98,9.861626364089485e-07,9.763396685225494e-07,9.781289025446583e-07,9.862282906776921e-07,9.962567546233338e-07,9.705588289117429e-07,,,9.545208138932324e-07
99,9.876171214746758e-07,9.757902469200519e-07,9.795755124137324e-07,9.8642567849685e-07,9.969784818994248e-07,9.707717654583584e-07,,,9.55107418591821e-07
