step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_ctrl_step
40,0.01908507023163058,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01834149306875353
41,0.01908507023163058,0.05,0.01,0.05,0.025,0.05,0.05,0.05,0.018926364296825617
42,0.01908507023163058,0.05,0.01,0.05,0.05,0.05,0.05,0.025,0.0219245381790165
43,0.01908507023163058,0.025,0.01,0.05,0.05,0.05,0.05,0.025,0.0219245381790165
44,0.010420304143364308,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.01650586051672566
45,0.0194351565767239,0.025,0.01,0.05,0.025,0.05,0.05,0.025,0.01197193886047512
46,0.01221002198424017,0.025,0.01,0.05,0.025,0.05,0.05,0.05,0.01
47,0.017655281508011513,0.05,0.013925481531009256,0.05,0.05,0.05,0.05,0.05,0.01009403340067604
48,0.021985596770234046,0.05,0.013925481531009256,0.05,0.05,0.05,0.05,0.025,0.01009403340067604
49,0.01854374424599401,0.05,0.01,0.05,0.025,0.05,0.05,0.025,0.01009403340067604
