step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
39,1.024350958473714e-06,1.055702578015362e-06,1.0492844770606429e-06,1.0843205934358749e-06,1.2256962443570088e-06,1.0897269782231844e-06,1.0691500036721421e-06,1.0951060577327336e-06,9.88805068579701e-07
40,1.0340494160723399e-06,1.1211973048491204e-06,1.013284859168881e-06,1.1019279849304543e-06,1.1353910449356257e-06,1.0508367918600306e-06,1.1418201661602338e-06,1.0288309174194154e-06,9.566673278715012e-07
41,1.0590885522435761e-06,1.0513352961067182e-06,9.74694820039505e-07,1.1283978897577349e-06,1.1107308766761932e-06,1.0875442240834743e-06,1.0557827994231593e-06,1.0897995666858382e-06,1.0150617814431026e-06
42,1.135336828263616e-06,1.0753367051033911e-06,9.612542025101854e-07,1.0684208253187534e-06,1.0687293557607664e-06,1.0554100191978291e-06,1.0828427048825602e-06,1.047986967527205e-06,9.964250751579944e-07
43,1.046545927595614e-06,1.08614193082118e-06,1.0363817574596453e-06,1.1270893277419635e-06,1.1385867520571226e-06,1.0940162863641973e-06,1.0815876452070592e-06,1.017594748076285e-06,9.687061093423745e-07
44,1.0678689452788122e-06,9.967050321067056e-07,9.480677243878867e-07,1.0475458925105349e-06,1.0068927745813283e-06,1.009767575900013e-06,1.016732238858744e-06,1.0562528287800756e-06,9.89571778853096e-07
45,1.0361309857256764e-06,1.01371315699225e-06,9.886702811438743e-07,1.0905908012345275e-06,1.0201662951641779e-06,1.0528070962339755e-06,9.567057027607864e-07,9.883004571427426e-07,9.900564636879553e-07
46,1.0670377839939579e-06,1.0229738991314526e-06,9.702479852235224e-07,1.024686631034698e-06,1.089962652762184e-06,1.0907491720631703e-06,1.0316404414296785e-06,1.0326995727749312e-06,9.376720464954061e-07
47,1.05696035019436e-06,1.1057019067289197e-06,1.0837753212517215e-06,1.1072864883497914e-06,1.0884445457197414e-06,1.0952996233573271e-06,1.118692044230881e-06,1.0287151691966053e-06,1.0127888844588663e-06
48,1.084737285390506e-06,1.1291686820855982e-06,1.0248267413676392e-06,1.1192221568004098e-06,1.0496505900430496e-06,1.03053192934683e-06,1.0945865343052723e-06,9.544817358386472e-07,9.578287300231234e-07
49,1.0506817742627294e-06,1.0562450345259914e-06,1.0157729412691863e-06,1.0485874401406631e-06,1.049406708877084e-06,1.0052523964748188e-06,9.627001633312235e-07,9.844939212429984e-07,8.650540733450255e-07
50,9.747606595918777e-07,1.0011141264310538e-06,9.858064222754972e-07,1.024463637677648e-06,1.0525572567375531e-06,9.757216130177642e-07,1.1060738526160296e-06,9.219400562365595e-07,9.310957245290783e-07
51,1.0061910553371704e-06,9.446243801402468e-07,9.496644346119792e-07,1.0078682878900304e-06,1.044741640296552e-06,1.0953578713330645e-06,1.0494904431303224e-06,1.1024290088089641e-06,9.535993329772886e-07
52,1.0507863491239642e-06,1.0354031470332991e-06,1.017612139645292e-06,1.0239442096664034e-06,1.0949425345296914e-06,1.0895518742963339e-06,1.0519579725819663e-06,1.016275345165502e-06,1.000314602755381e-06
53,1.093761952628462e-06,1.0282182068163032e-06,9.69433959222529e-07,9.710056643215696e-07,9.891464625873034e-07,1.0395791940303262e-06,1.0499708672394443e-06,1.037689634760582e-06,1.012059833304986e-06
54,9.987109630610509e-07,9.685297365615818e-07,9.290819042567582e-07,9.55852808729764e-07,1.0363840408521133e-06,1.0689820013445286e-06,1.0412099496620486e-06,9.755706250427418e-07,9.322700826242817e-07
55,1.065793354695663e-06,1.071943771338974e-06,9.681980521401338e-07,1.0033973204606032e-06,1.0474825667559617e-06,1.0208211050090224e-06,9.675410928586062e-07,1.037684548562306e-06,9.433140461000451e-07
