step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-6-actor/pg_clipfrac_lower_step
282,0,1.1049314400075442e-06,0,0
283,0,3.398385464000361e-06,2.698863041856653e-07,0
284,0,8.379004783278832e-07,0,0
285,0,2.067318140082837e-06,0,0
286,0,1.764106445989455e-06,2.569721680560659e-07,0
287,0,0,0,3.4382409443750453e-07
288,0,3.0196592295238667e-07,0,0
289,0,9.050494958905295e-07,5.53913299161238e-07,0
290,0,0,0,0
291,0,0,2.653995478693913e-07,0
292,0,1.8561482875156798e-06,0,0
293,0,2.889612163847271e-07,0,4.2976446550440145e-07
294,0,2.2965674361330458e-06,0,0
295,0,2.4849350415934165e-06,0,0
296,0,0,2.3644015356076817e-07,0
297,0,0,0,0
298,0,3.2070493684191855e-06,0,0
299,0,0,2.583787035190552e-07,0
300,0,1.932997861331387e-06,0,0
