step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-response_length/mean_step
23,2694.1318359375,3787.7265625,2925.41796875,2544.58203125,1612.9375
24,2643.12890625,3629.6513671875,2647.3544921875,2445.359375,1562.5166015625
25,2755.2900390625,3515.1044921875,2798.322265625,2501.6572265625,1472.322265625
26,2798.0244140625,3373.755859375,2844.6787109375,2487.1181640625,1569.728515625
27,2854.7822265625,3376.935546875,3123.7705078125,2715.919921875,1399.3017578125
28,2786.1591796875,3221.5302734375,2917.3837890625,2615.2177734375,1387.3193359375
29,2558.90625,3137.3125,2746.875,2508.8515625,1336.9990234375
30,2692.8623046875,3134.0732421875,2734.5009765625,2580.9228515625,1349.2861328125
31,2746.9931640625,3066.4482421875,2765.2666015625,2692.0537109375,1514.529296875
32,2776.5234375,3056.3408203125,2904.5927734375,2716.64453125,1584
33,2691.896484375,3081.5478515625,2834.2578125,2706.8046875,1561.236328125
34,2644.896484375,2968.5625,2891.7763671875,2722.853515625,1609.0849609375
35,2736.2138671875,3050.4248046875,2908.0224609375,2770.220703125,1617.9609375
36,2920.181640625,3286.16015625,3006.583984375,2918.6630859375,1719.3017578125
37,2697.6259765625,3187.4384765625,2768.177734375,2703.44140625,1851.9462890625
38,2625.787109375,3301.34375,2650.62109375,2544.0986328125,1744.59765625
39,2813.6767578125,3374.55078125,2833.609375,2749.73046875,1625.767578125
40,2767.111328125,3210.8154296875,2869.9638671875,2687.326171875,1609.255859375
41,2786.1806640625,3445.900390625,2786.1640625,2716.8232421875,1775.7978515625
42,2786.005859375,3039.6953125,2871.533203125,2650.265625,2020.8056640625
43,2849.634765625,3008.3564453125,2978.7841796875,2815.6474609375,2460.16796875
44,2725.9580078125,2933.8740234375,2848.0732421875,2715.5087890625,2443.3720703125
45,2932.828125,3042.29296875,3058.2373046875,2814.97265625,1991.376953125
46,2711.099609375,3466.72265625,2863.8701171875,2652.4853515625,1911.1015625
47,2784.0078125,3592.326171875,2924.509765625,2790.19140625,1846.482421875
48,2761.20703125,3874.33203125,2863.1689453125,2666.8662109375,2031.6298828125
49,2725.0068359375,3671.2294921875,2900.9296875,2772.658203125,2431.56640625
50,2661.5654296875,3662.2041015625,2847.140625,2667.2685546875,2724.5048828125
51,2663.6533203125,3577.623046875,2874.072265625,2666.4404296875,2756.87890625
52,2748.509765625,3544.705078125,2880.771484375,2728.876953125,2472.33984375
53,2692.9453125,3577.158203125,2763.2822265625,2672.9765625,2294.6376953125
54,2891.986328125,3482.525390625,2900.9267578125,2781.0380859375,2466.4609375
55,2840.021484375,3221.4501953125,2774.248046875,2676.591796875,2793.234375
56,2809.3681640625,3249.501953125,2875.158203125,2709.7255859375,3077.990234375
57,2633.1630859375,3235.6220703125,2807.6630859375,2550.998046875,3267.26171875
58,3011.33203125,3218.78125,2955.142578125,2766.7119140625,3267.0263671875
59,2936.4384765625,3596.916015625,2960.8642578125,2790.7822265625,2965.1708984375
60,2915.59765625,4162.228515625,2952.154296875,2778.0712890625,2874.75390625
61,2967.431640625,4469.4833984375,2998.19921875,2824.3427734375,2959.3046875
62,2804.16015625,4576.6142578125,2814.4375,2715.41015625,3272.1669921875
63,3011.689453125,4388.9287109375,3062.787109375,2826.3955078125,3628.283203125
64,2711.0107421875,4048.806640625,2827.79296875,2636.6220703125,3603.302734375
65,2813.6220703125,3983.3896484375,2929.7666015625,2704.4892578125,3600.09375
66,2826.017578125,4116.2509765625,2944.1337890625,2689.7314453125,3540.21875
67,2768.662109375,4150.19140625,2986.5390625,2674.5537109375,3613.2734375
68,2837.4609375,4300.10546875,2955.4443359375,2579.75,3902.9814453125
69,2766.8408203125,4302.9111328125,3042.3779296875,2623.294921875,4215.0498046875
70,2766.1279296875,4326.2431640625,3015.017578125,2609.5166015625,4164.2314453125
71,2723.48828125,4659.927734375,3038.5712890625,2582.560546875,4257.681640625
72,2904.08203125,4543.498046875,3044.7275390625,2626.8408203125,4431.5810546875
73,2819.576171875,4071.65625,2880.8076171875,2522.58203125,4080.5712890625
74,2906.2060546875,4242.8154296875,3041.9912109375,2521.4013671875,3944.322265625
75,2811.201171875,4363.57421875,3003.705078125,2646.021484375,4124.5546875
76,2714.71484375,4527.3193359375,2947.9150390625,2506.8310546875,4357.0126953125
77,2990.158203125,4385.994140625,3122.1513671875,2842.5009765625,4568.1259765625
