step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/alpha_t_step
120,2e-07,2.621759028733237e-06
121,2e-07,2.621759028733237e-06
122,2e-07,2.7033473673192247e-06
123,2.4386972762327897e-07,2.7033473673192247e-06
124,3.884317360244173e-07,2.7033473673192247e-06
125,2.96635151217649e-07,2.8489876513161397e-06
126,4.0423462652582626e-07,2.8489876513161397e-06
127,2.911611376887954e-07,2.8489876513161397e-06
128,3.47697882107311e-07,2.8489876513161397e-06
129,3.523497606841766e-07,2.8489876513161397e-06
130,2.5789456031882904e-07,2.8489876513161397e-06
131,3.0512216050150277e-07,2.0000000000000003e-06
132,3.3715192035708585e-07,2.531029179284299e-06
133,3.688536677469515e-07,2.561498436270448e-06
134,3.688536677469515e-07,2.561498436270448e-06
135,3.9899178854260203e-07,2.561498436270448e-06
