step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_rms_step
76,1.0892440136644709e-06,1.2057003275631907e-06
77,8.516663991779117e-07,1.0045165026710157e-06
78,8.664879221723168e-07,9.598029186867022e-07
79,8.78849677819202e-07,1.0007005495079246e-06
80,9.693765797498694e-07,1.0562396175893905e-06
81,1.0000602014656751e-06,1.2383043483641144e-06
82,9.061116317081163e-07,1.014150368250744e-06
83,8.990220014932097e-07,9.704054050558007e-07
84,9.165568035545451e-07,1.0304087481365784e-06
85,8.579031367006893e-07,9.318465184071179e-07
86,1.0049856291960409e-06,1.1340415543120643e-06
87,8.592530443437841e-07,9.38627622245326e-07
88,8.581045026354722e-07,1.0478398688512926e-06
89,8.544719083310953e-07,9.997637914371742e-07
90,9.071251998780804e-07,9.741794385127352e-07
91,9.700661389182e-07,1.135242357694109e-06
92,8.703483475416604e-07,8.691788458191748e-07
93,9.404468515627764e-07,9.854911091344453e-07
94,9.096793389573472e-07,9.734582115258745e-07
95,9.562082386170015e-07,1.0805631104333712e-06
96,1.0362397467917322e-06,1.1098508811324287e-06
97,9.114843462080623e-07,9.648761388220598e-07
98,9.272125267965277e-07,9.597480526240553e-07
99,8.680071246947038e-07,9.880152267839026e-07
100,8.838338779242732e-07,9.827419544940803e-07
101,1.0147041877259412e-06,1.0860622348813419e-06
102,9.186074396662594e-07,9.843440656030918e-07
103,8.853028360440266e-07,9.782641613599184e-07
104,9.65248395772992e-07,1.0503886392673464e-06
105,9.755766942177196e-07,1.064507536239596e-06
106,1.0548274369385668e-06,1.0829978751942669e-06
107,9.267858198554111e-07,9.621855607780184e-07
108,9.47226045319452e-07,9.325764924437704e-07
109,8.911691640728793e-07,9.66456810455405e-07
110,9.077918648199578e-07,9.643446543354534e-07
111,1.0351505404713472e-06,1.1082954630365971e-06
112,9.310180481009148e-07,1.0019916161453125e-06
113,9.231770361509753e-07,9.363930757765534e-07
114,9.562876509792316e-07,9.96815677475432e-07
115,9.59043112965336e-07,9.726406876824232e-07
116,1.0151459842606924e-06,1.0128430293828163e-06
117,9.304205855008531e-07,9.55865726491958e-07
118,9.24215523884988e-07,1.0468804966602013e-06
119,8.750359125374424e-07,1.0163193875717983e-06
120,9.456403527261471e-07,9.709348710992969e-07
121,1.055866753181942e-06,1.099928448731362e-06
122,9.13605120999979e-07,9.003948698464137e-07
123,9.63128151990739e-07,9.345622354796244e-07
124,9.776185528841941e-07,8.767488729339355e-07
125,9.326386497014584e-07,1.044733855868097e-06
126,1.077704089992323e-06,1.1611750245506356e-06
127,1.024486257706874e-06,1.0515035437515584e-06
128,9.543719434515705e-07,9.495745382715563e-07
129,9.28610957378754e-07,9.633941485311692e-07
130,9.173768576187114e-07,8.979475683700453e-07
131,1.0453620210724103e-06,1.112950005657002e-06
132,9.559795312900959e-07,1.0136376272691436e-06
133,9.895084879193723e-07,1.0202588173768725e-06
134,9.614852624070558e-07,1.004110331040263e-06
135,9.445915309889219e-07,9.091797687873499e-07
136,1.0245489953173145e-06,1.0366681228356145e-06
137,9.318008440619664e-07,9.74821190384814e-07
138,9.964335869668495e-07,9.681536049742515e-07
139,1.0067046381806153e-06,9.599377887144613e-07
140,9.427773021483481e-07,9.581709857085783e-07
141,1.0606181056977152e-06,1.0268506800113366e-06
142,9.837669438478017e-07,1.013593053130822e-06
143,9.486495085896358e-07,9.457096108866946e-07
144,1.0115296975880956e-06,1.1282210636005664e-06
145,9.748145990286512e-07,1.025095478904358e-06
146,1.1487505013254926e-06,1.1073128171894834e-06
147,1.0268167321157676e-06,9.889843361426434e-07
148,1.0493724944003309e-06,1.0122348455501478e-06
149,9.547314739618384e-07,9.8016866637704e-07
150,9.910932691609896e-07,1.019828208434538e-06
151,1.0048670113993383e-06,1.0814293808728992e-06
152,1.0277340495105441e-06,9.692816146634038e-07
153,9.928229344411742e-07,1.0313865961633807e-06
154,9.536730321774698e-07,9.091059552126456e-07
155,9.624140597018032e-07,9.957082117139171e-07
156,1.0666897746151283e-06,1.0583217139216138e-06
157,9.71702318441925e-07,9.937684387654594e-07
158,9.789708736461775e-07,1.0030878119645782e-06
159,1.0271691293502522e-06,9.519272109990303e-07
160,9.979217147105569e-07,9.223189860980687e-07
161,1.0767375173395667e-06,1.0476970195307619e-06
162,9.634091762421496e-07,9.718917515455697e-07
163,9.912824882007154e-07,9.504686065350046e-07
164,1.0315432905627671e-06,9.956251691954376e-07
165,9.942818850201865e-07,9.172827450104714e-07
166,1.1416544323645493e-06,1.0556992207376764e-06
167,1.052074933138962e-06,9.68294738957447e-07
168,9.988531547981388e-07,9.843000678342328e-07
169,9.968691646878434e-07,9.739485722083556e-07
170,1.0376694248581618e-06,9.336327876614534e-07
171,1.1223596549608407e-06,9.512965053338085e-07
172,9.844097273393204e-07,9.485550972355092e-07
173,1.0617083412177243e-06,9.896829550606657e-07
174,9.423773622673331e-07,9.768064249322901e-07
175,9.595554213500517e-07,9.71472162843287e-07
176,1.0865430310025058e-06,9.91712429605082e-07
177,1.0358362105707303e-06,9.89672356117007e-07
178,9.566672245505263e-07,9.430824214806715e-07
179,1.047096432061553e-06,9.648239445156608e-07
180,1.0205555304510028e-06,9.730464046912236e-07
181,1.0662487162934973e-06,1.0597326447614865e-06
182,9.898846552595709e-07,1.0260609250047062e-06
183,9.553346114853891e-07,9.018858889729402e-07
184,9.54890520543036e-07,9.543724639018983e-07
185,9.741602269767377e-07,1.0077561115115745e-06
186,1.1492868070469314e-06,1.053780812790308e-06
187,9.614910869250922e-07,9.82081519831354e-07
188,9.462497855259881e-07,9.10441767396688e-07
189,9.762525659414217e-07,9.509759958751448e-07
190,1.0114457990897444e-06,9.645373778388468e-07
191,1.135660208025985e-06,1.057976985165975e-06
192,9.436817682121363e-07,9.477176162032902e-07
193,9.367328755846791e-07,9.149422496810551e-07
194,9.486536238419632e-07,9.009048017577656e-07
195,1.0482413266334055e-06,9.257394929598019e-07
196,1.123961769120901e-06,9.455895294477068e-07
197,1.0746631403529321e-06,9.817564018535854e-07
198,1.0124751272061722e-06,9.950262247398132e-07
199,1.0300440227266428e-06,9.893672735210254e-07
200,9.933788688664627e-07,9.80698796538398e-07
201,1.1155348846064149e-06,1.0830340584317648e-06
202,1.086530846779307e-06,9.613038810106737e-07
203,9.620873751771564e-07,8.809371605064804e-07
204,9.515720114698109e-07,9.222906653848376e-07
205,1.0404057230909018e-06,9.506489428263357e-07
206,1.0561488531003751e-06,1.028548003164512e-06
207,1.0773109073974034e-06,9.230725228099768e-07
208,9.66810304104155e-07,9.85793740599946e-07
209,1.0089314600703698e-06,9.73030489754946e-07
210,9.909707206527151e-07,9.464875773394237e-07
211,1.1258602798982409e-06,1.0586413683976422e-06
212,1.0357528077495078e-06,9.700914198912277e-07
213,1.0172253904422649e-06,9.52176953493352e-07
214,9.659302866489184e-07,9.189112602151638e-07
215,1.029591127529179e-06,9.580455850249812e-07
216,1.1361625541218801e-06,1.0931859019825624e-06
217,1.039133120059962e-06,9.281986070749624e-07
218,9.612899717718759e-07,9.776203410623712e-07
219,9.704211413413439e-07,1.011597259124957e-06
220,1.0214033931061902e-06,9.061188211796828e-07
221,1.1041045709833949e-06,1.0703412524045733e-06
222,9.64267743183902e-07,9.573495246984833e-07
223,1.0021629014687653e-06,9.54770082966729e-07
224,1.0824613361599735e-06,9.70014396024241e-07
225,1.0175989413775415e-06,1.0179051891708246e-06
226,1.0934794419657968e-06,1.1268805453411044e-06
227,1.0495658586818339e-06,9.221121315883856e-07
228,9.872445123555408e-07,9.485893409522408e-07
229,1.018331147663116e-06,1.0452132041715318e-06
230,9.838560250716565e-07,9.448641063471432e-07
231,1.1327767943835106e-06,1.0580436627162698e-06
232,9.742898272035204e-07,9.32821337942633e-07
233,9.790275166188714e-07,1.0257074416442105e-06
234,1.0272071696594284e-06,9.948634360584903e-07
235,1.044081824234488e-06,1.0246821342191036e-06
236,1.1702970545423994e-06,1.0171106326650077e-06
237,1.007251012436068e-06,9.648288659110075e-07
238,1.02184146783745e-06,9.663121968613486e-07
239,1.0193393725263078e-06,9.870915662774869e-07
240,1.08125857843897e-06,9.615561553423952e-07
241,1.1226295849670488e-06,1.0726536398206904e-06
242,1.0026340895123675e-06,9.000296074275221e-07
243,9.467368264867242e-07,9.571546856760333e-07
244,9.997475630755716e-07,9.295419657488942e-07
245,1.053512350136502e-06,1.0483182616739139e-06
246,1.1244707286726048e-06,9.381060771285687e-07
247,1.01399847605149e-06,9.60983659076266e-07
248,9.688584957402867e-07,9.0810162505538e-07
249,9.935994725464825e-07,9.703197628435605e-07
250,1.010872516139242e-06,9.820584523332058e-07
251,1.1489036440873054e-06,1.004655076203355e-06
252,1.0056164533069997e-06,9.543862565966926e-07
253,1.009048514273272e-06,1.0000443067330924e-06
254,1.0624373864639213e-06,1.0129204148729725e-06
255,1.0437854960060025e-06,9.447792129493608e-07
256,1.206018923269338e-06,1.0537683301712775e-06
257,1.0121377195703104e-06,9.455850652239604e-07
258,1.0523316420417904e-06,9.178410490774768e-07
259,1.0469182108596665e-06,9.509597857551268e-07
260,9.583539605435648e-07,9.050469661999772e-07
261,1.1448096566639122e-06,1.0224505102908845e-06
262,9.889132353097574e-07,9.621385573658599e-07
263,9.973479111100315e-07,9.828102348766442e-07
264,1.0139458303079051e-06,1.0157657254980394e-06
265,9.86502972312803e-07,8.661951861029676e-07
266,1.0699539948538523e-06,1.0338710827118381e-06
267,1.0226983582298538e-06,9.010060236061507e-07
268,1.035628804222851e-06,9.186017782866063e-07
269,1.0060149653156125e-06,9.60583462602966e-07
270,9.994754228349338e-07,9.539260013271149e-07
271,1.1480757982284138e-06,1.0877399404416252e-06
272,1.003627092695694e-06,9.115409793424395e-07
273,1.0293536369429734e-06,9.850640288991296e-07
274,1.010506889651343e-06,9.542018576663466e-07
275,9.351638120307043e-07,9.306329251546923e-07
276,1.1104665471941074e-06,1.0209516729652174e-06
277,9.518227036726483e-07,9.55873988811725e-07
278,9.614308120241834e-07,9.650709705456398e-07
279,1.0426060877892146e-06,8.94116898761419e-07
280,1.0076168498588384e-06,9.15453312637566e-07
281,1.1930256695916448e-06,1.046170781897984e-06
282,1.0413361205946267e-06,9.711203007288825e-07
283,1.0390919700571216e-06,9.473686470081803e-07
284,9.97743936622143e-07,9.518026671878454e-07
285,1.0110828656050258e-06,9.275197872075656e-07
286,1.0826579430324653e-06,1.0189664064906729e-06
287,1.025216511204863e-06,9.606909903517477e-07
288,1.042707764014273e-06,9.080869819874715e-07
289,1.0097389265673935e-06,9.290830234677169e-07
290,9.885544460921602e-07,9.148997694687877e-07
291,1.114944442828879e-06,1.061979902839711e-06
292,1.0479663116209502e-06,9.40424449265528e-07
293,1.0221112741009193e-06,8.616188744402945e-07
294,9.93228424627788e-07,9.549563760319606e-07
295,1.0825354607003443e-06,9.859750796875609e-07
296,1.1362557249648365e-06,1.0134120847646625e-06
297,1.0626404240280276e-06,1.0004885941162482e-06
298,9.776534882306964e-07,9.62295964238704e-07
299,1.0107977471725102e-06,9.516134307825371e-07
300,1.047614895562287e-06,9.4331270712843e-07
