step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/c_t_step
244,2e-05,0.0002
245,2e-05,0.0002
246,2e-05,0.0002
247,2e-05,0.0002
248,2e-05,0.0002
249,2e-05,0.0002
250,2e-05,0.0002
251,2e-05,0.0002
252,2e-05,0.0002
253,2e-05,0.0002
254,2e-05,0.0002
255,2e-05,0.0002
256,2e-05,0.0002
257,2e-05,0.0002
258,2e-05,0.0002
259,2e-05,0.0002
260,2e-05,0.0002
261,2e-05,0.0002
262,2e-05,0.0002
263,2e-05,0.0002
264,2e-05,0.0002
265,2e-05,0.0002
266,2e-05,0.0002
267,2e-05,0.0002
268,2e-05,0.0002
269,2e-05,0.0002
270,2e-05,0.0002
271,2e-05,0.0002
272,2e-05,0.0002
273,2e-05,0.0002
274,2e-05,0.0002
275,2e-05,0.0002
276,2e-05,0.0002
277,2e-05,0.0002
278,2e-05,0.0002
279,2e-05,0.0002
280,2e-05,0.0002
281,2e-05,0.0002
282,2e-05,0.0002
283,2e-05,0.0002
284,2e-05,0.0002
285,2e-05,0.0002
286,2e-05,0.0002
287,2e-05,0.0002
288,2e-05,0.0002
289,2e-05,0.0002
290,2e-05,0.0002
291,2e-05,0.0002
292,2e-05,0.0002
293,2e-05,0.0002
294,2e-05,0.0002
295,2e-05,0.0002
296,2e-05,0.0002
297,2e-05,0.0002
298,2e-05,0.0002
299,2e-05,0.0002
300,2e-05,0.0002
