step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/alpha_t_step
129,,2.160592981872161e-06
130,,2.160592981872161e-06
131,,2.160592981872161e-06
132,,2.299778102430582e-06
133,,2.3164358554618186e-06
134,,1.6724537886183092e-06
135,,1.6724537886183092e-06
136,,1.9763771983993687e-06
137,,1.6724537886183092e-06
138,,2.240990881750825e-06
139,,1.6724537886183092e-06
