step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/g_rms_ema_step
64,7.980245282196823e-07,9.957794300329892e-07
65,7.968051052416124e-07,9.951496546054212e-07
66,8.032318766704468e-07,9.991517625118212e-07
67,8.048210181865167e-07,1.000249784162829e-06
68,8.074012710304321e-07,9.973103113865534e-07
69,8.078931192960041e-07,9.93967517790088e-07
70,8.102895398477375e-07,9.949492081448056e-07
71,8.204574831942302e-07,9.993308130067445e-07
72,8.1842967559099e-07,9.966762553224717e-07
73,8.192341146021467e-07,9.969977559563878e-07
74,8.191267636239061e-07,9.94103937647109e-07
75,8.229720639742094e-07,9.874505937965895e-07
76,8.300527939341985e-07,9.951251848575945e-07
77,8.320311870811018e-07,9.94438702878227e-07
78,8.329451763089447e-07,9.90356727507355e-07
79,8.321693785433483e-07,9.875556579518743e-07
80,8.351579205676545e-07,9.88240087225759e-07
81,8.419333573844866e-07,9.924843279002432e-07
82,8.447811114760041e-07,9.907803460899788e-07
83,8.425078962956126e-07,9.880226947870019e-07
84,8.459052484806342e-07,9.841003508510257e-07
85,8.437704706278293e-07,9.806194298602548e-07
86,8.503178522782288e-07,9.830217275994428e-07
87,8.501839771928321e-07,9.812972670978166e-07
88,8.499632250273857e-07,9.832074455217678e-07
89,8.518958612333797e-07,9.815293153241519e-07
90,8.536465954637133e-07,9.79695307196923e-07
91,8.577813047912215e-07,9.849502643018968e-07
92,8.564370448289647e-07,9.81491146226789e-07
93,8.586281276513359e-07,9.867796263142471e-07
94,8.614076185512887e-07,9.849726256719703e-07
95,8.640604600017299e-07,9.863486756851714e-07
96,,9.93959372994648e-07
97,,9.91226890068715e-07
98,,9.93648459919662e-07
99,,9.927407441471794e-07
100,,9.934136177045106e-07
101,,9.979720687900606e-07
102,,9.951532881679086e-07
103,,9.957365689919623e-07
104,,9.935181389087508e-07
105,,9.954383859074101e-07
106,,9.986978366258263e-07
107,,9.960898928518789e-07
108,,9.93059207979004e-07
109,,9.892775797444154e-07
110,,9.856416963430227e-07
111,,9.883559793802202e-07
112,,9.8981221319176e-07
113,,9.86456095360181e-07
114,,9.857140951724317e-07
115,,9.824408875842642e-07
116,,9.85931861314336e-07
117,,9.86384333463877e-07
118,,9.864367794950311e-07
119,,9.886299099049026e-07
120,,9.884616284560534e-07
121,,9.875121828679316e-07
122,,9.855287275462787e-07
123,,9.839485392578282e-07
124,,9.838189880575492e-07
125,,9.830450167717063e-07
126,,9.927013278435608e-07
127,,9.961959488292097e-07
128,,9.970203207405147e-07
129,,9.975227102157988e-07
130,,9.969305017675914e-07
131,,1.0015304822846415e-06
132,,1.0011659763390286e-06
133,,9.9926192789684e-07
134,,9.97960748865578e-07
135,,9.964545091897444e-07
136,,1.0019880095271121e-06
137,,1.0027139622346878e-06
138,,1.0007879522246072e-06
139,,9.964579241564247e-07
